No.,5+life Prize,5+life Winners,5+life Total,5 Prize,5 Winners,5 Total,4+life Prize,4+life Winners,4+life Total,4 Prize,4 Winners,4 Total,3+life Prize,3+life Winners,3+life Total,3 Prize,3 Winners,3 Total,2+life Prize,2+life Winners,2+life Total,2 Prize,2 Winners,2 Total
221,3600000,0,0,120000,1,120000,250,32,8000,50,378,18900,30,1906,57180,20,14849,296980,10,22508,225080,5,180655,903275
220,3600000,0,0,120000,0,0,250,26,6500,50,189,9450,30,994,29820,20,8880,177600,10,14659,146590,5,131633,658165
219,3600000,0,0,120000,0,0,250,21,5250,50,249,12450,30,1172,35160,20,11020,220400,10,16921,169210,5,151872,759360
218,3600000,1,3600000,120000,2,240000,250,40,10000,50,272,13600,30,1585,47550,20,12028,240560,10,20434,204340,5,158077,790385
217,3600000,0,0,120000,1,120000,250,40,10000,50,386,19300,30,1413,42390,20,11977,239540,10,18896,188960,5,154625,773125
216,3600000,0,0,120000,0,0,250,34,8500,50,296,14800,30,1455,43650,20,12609,252180,10,19312,193120,5,167089,835445
215,3600000,0,0,120000,1,120000,250,24,6000,50,235,11750,30,1124,33720,20,11735,234700,10,16111,161110,5,161221,806105
214,3600000,0,0,120000,3,360000,250,34,8500,50,246,12300,30,1369,41070,20,11847,236940,10,18330,183300,5,161880,809400
213,3600000,0,0,120000,1,120000,250,19,4750,50,238,11900,30,1176,35280,20,10447,208940,10,16480,164800,5,145693,728465
212,3600000,1,3600000,120000,1,120000,250,25,6250,50,295,14750,30,1103,33090,20,12964,259280,10,15639,156390,5,171289,856445
211,3600000,0,0,120000,2,240000,250,35,8750,50,259,12950,30,1213,36390,20,11155,223100,10,17178,171780,5,155682,778410
210,3600000,0,0,120000,4,480000,250,19,4750,50,256,12800,30,1210,36300,20,10951,219020,10,16933,169330,5,154049,770245
209,3600000,0,0,120000,4,480000,250,42,10500,50,327,16350,30,1618,48540,20,13611,272220,10,19432,194320,5,173904,869520
208,3600000,0,0,120000,7,840000,250,64,16000,50,567,28350,30,1751,52530,20,16690,333800,10,20662,206620,5,192935,964675
207,3600000,0,0,120000,4,480000,250,42,10500,50,373,18650,30,1361,40830,20,12783,255660,10,17828,178280,5,167992,839960
206,3600000,1,3600000,120000,1,120000,250,91,22750,50,386,19300,30,1975,59250,20,13744,274880,10,20363,203630,5,174013,870065
205,3600000,1,3600000,120000,0,0,250,36,9000,50,302,15100,30,1416,42480,20,11977,239540,10,18686,186860,5,165959,829795
204,3600000,0,0,120000,7,840000,250,55,13750,50,433,21650,30,1836,55080,20,15661,313220,10,22381,223810,5,188014,940070
203,3600000,0,0,120000,1,120000,250,39,9750,50,305,15250,30,1438,43140,20,13180,263600,10,18488,184880,5,165682,828410
202,3600000,0,0,120000,2,240000,250,37,9250,50,248,12400,30,1376,41280,20,11260,225200,10,19372,193720,5,153449,767245
201,3600000,0,0,120000,2,240000,250,28,7000,50,239,11950,30,1348,40440,20,11411,228220,10,18238,182380,5,158094,790470
200,3600000,0,0,120000,0,0,250,21,5250,50,222,11100,30,1108,33240,20,9544,190880,10,17693,176930,5,138041,690205
199,3600000,0,0,120000,2,240000,250,37,9250,50,410,20500,30,1362,40860,20,13942,278840,10,16866,168660,5,168753,843765
198,3600000,0,0,120000,0,0,250,23,5750,50,302,15100,30,1419,42570,20,13019,260380,10,19433,194330,5,178348,891740
197,3600000,0,0,120000,2,240000,250,18,4500,50,241,12050,30,1158,34740,20,11615,232300,10,16787,167870,5,160179,800895
196,3600000,0,0,120000,1,120000,250,24,6000,50,214,10700,30,1177,35310,20,11227,224540,10,16546,165460,5,155107,775535
195,3600000,0,0,120000,0,0,250,27,6750,50,228,11400,30,1381,41430,20,10553,211060,10,18642,186420,5,144307,721535
194,3600000,0,0,120000,1,120000,250,32,8000,50,215,10750,30,1119,33570,20,10125,202500,10,16024,160240,5,145690,728450
193,3600000,1,3600000,120000,0,0,250,27,6750,50,278,13900,30,1196,35880,20,10863,217260,10,16640,166400,5,145448,727240
192,3600000,0,0,120000,0,0,250,26,6500,50,283,14150,30,1333,39990,20,11711,234220,10,18671,186710,5,161229,806145
191,3600000,0,0,120000,5,600000,250,37,9250,50,287,14350,30,1254,37620,20,11288,225760,10,16966,169660,5,151043,755215
190,3600000,0,0,120000,1,120000,250,33,8250,50,222,11100,30,1193,35790,20,9972,199440,10,16397,163970,5,136810,684050
189,3600000,0,0,120000,0,0,250,27,6750,50,228,11400,30,1190,35700,20,10355,207100,10,15960,159600,5,142317,711585
188,3600000,1,3600000,120000,0,0,250,34,8500,50,358,17900,30,1553,46590,20,14763,295260,10,20905,209050,5,206132,1030660
187,3600000,1,3600000,120000,3,360000,250,27,6750,50,247,12350,30,1213,36390,20,10649,212980,10,16361,163610,5,151067,755335
186,3600000,0,0,120000,1,120000,250,35,8750,50,282,14100,30,1737,52110,20,13214,264280,10,23777,237770,5,185202,926010
185,3600000,0,0,120000,2,240000,250,23,5750,50,193,9650,30,1090,32700,20,9231,184620,10,15449,154490,5,134920,674600
184,3600000,1,3600000,120000,0,0,250,39,9750,50,255,12750,30,1244,37320,20,10865,217300,10,16652,166520,5,143605,718025
183,3600000,0,0,120000,1,120000,250,32,8000,50,282,14100,30,1180,35400,20,10576,211520,10,15932,159320,5,143781,718905
182,3600000,0,0,120000,0,0,250,13,3250,50,226,11300,30,1127,33810,20,9227,184540,10,15796,157960,5,128480,642400
181,3600000,0,0,120000,1,120000,250,24,6000,50,328,16400,30,1365,40950,20,12598,251960,10,17460,174600,5,159417,797085
180,3600000,2,7200000,120000,2,240000,250,29,7250,50,283,14150,30,1235,37050,20,11151,223020,10,16312,163120,5,145713,728565
179,3600000,1,3600000,120000,3,360000,250,25,6250,50,223,11150,30,1120,33600,20,10721,214420,10,16281,162810,5,151684,758420
178,3600000,0,0,120000,1,120000,250,24,6000,50,264,13200,30,1091,32730,20,10176,203520,10,14904,149040,5,143057,715285
177,3600000,0,0,120000,0,0,250,29,7250,50,368,18400,30,1112,33360,20,12856,257120,10,14486,144860,5,159423,797115
176,3600000,0,0,120000,2,240000,250,47,11750,50,320,16000,30,1392,41760,20,12320,246400,10,17765,177650,5,155700,778500
175,3600000,0,0,120000,1,120000,250,29,7250,50,236,11800,30,1213,36390,20,11308,226160,10,16634,166340,5,150931,754655
174,3600000,0,0,120000,1,120000,250,35,8750,50,370,18500,30,1339,40170,20,13564,271280,10,17075,170750,5,164390,821950
173,3600000,0,0,120000,2,240000,250,27,6750,50,227,11350,30,1256,37680,20,10553,211060,10,16599,165990,5,146914,734570
172,3600000,1,3600000,120000,3,360000,250,42,10500,50,479,23950,30,1449,43470,20,15616,312320,10,17024,170240,5,174370,871850
171,3600000,0,0,120000,1,120000,250,12,3000,50,228,11400,30,957,28710,20,9293,185860,10,13253,132530,5,132852,664260
170,3600000,0,0,120000,1,120000,250,24,6000,50,280,14000,30,1193,35790,20,11615,232300,10,16096,160960,5,150172,750860
169,3600000,0,0,120000,3,360000,250,24,6000,50,233,11650,30,1236,37080,20,10518,210360,10,16314,163140,5,139960,699800
168,3600000,0,0,120000,3,360000,250,33,8250,50,281,14050,30,1100,33000,20,11147,222940,10,14590,145900,5,143680,718400
167,3600000,0,0,120000,0,0,250,20,5000,50,208,10400,30,1049,31470,20,8933,178660,10,15481,154810,5,125479,627395
166,3600000,0,0,120000,0,0,250,30,7500,50,345,17250,30,1285,38550,20,12705,254100,10,16557,165570,5,161483,807415
165,3600000,0,0,120000,3,360000,250,47,11750,50,344,17200,30,1336,40080,20,12556,251120,10,16286,162860,5,152925,764625
164,3600000,0,0,120000,0,0,250,28,7000,50,201,10050,30,1101,33030,20,9872,197440,10,15112,151120,5,134246,671230
163,3600000,0,0,120000,0,0,250,23,5750,50,208,10400,30,902,27060,20,8867,177340,10,12088,120880,5,125236,626180
162,3600000,0,0,120000,1,120000,250,35,8750,50,234,11700,30,1335,40050,20,10670,213400,10,17870,178700,5,143557,717785
161,3600000,0,0,120000,0,0,250,32,8000,50,250,12500,30,891,26730,20,10130,202600,10,12265,122650,5,137069,685345
160,3600000,1,3600000,120000,2,240000,250,33,8250,50,300,15000,30,1402,42060,20,11370,227400,10,17741,177410,5,144939,724695
159,3600000,0,0,120000,2,240000,250,17,4250,50,265,13250,30,938,28140,20,10351,207020,10,12460,124600,5,140101,700505
158,3600000,1,3600000,120000,5,600000,250,31,7750,50,292,14600,30,1300,39000,20,10959,219180,10,16685,166850,5,146039,730195
157,3600000,0,0,120000,1,120000,250,33,8250,50,254,12700,30,1245,37350,20,11118,222360,10,16181,161810,5,143642,718210
156,3600000,0,0,120000,1,120000,250,14,3500,50,194,9700,30,1130,33900,20,9554,191080,10,16801,168010,5,139341,696705
155,3600000,0,0,120000,1,120000,250,28,7000,50,223,11150,30,1176,35280,20,9569,191380,10,14819,148190,5,131846,659230
154,3600000,0,0,120000,0,0,250,28,7000,50,277,13850,30,1308,39240,20,11297,225940,10,17807,178070,5,150297,751485
153,3600000,0,0,120000,0,0,250,18,4500,50,194,9700,30,1152,34560,20,9298,185960,10,16148,161480,5,131082,655410
152,3600000,0,0,120000,4,480000,250,40,10000,50,337,16850,30,1694,50820,20,12862,257240,10,20676,206760,5,159018,795090
151,3600000,1,3600000,120000,1,120000,250,21,5250,50,195,9750,30,1107,33210,20,9327,186540,10,15620,156200,5,136278,681390
150,3600000,0,0,120000,1,120000,250,34,8500,50,333,16650,30,1174,35220,20,12122,242440,10,15336,153360,5,155199,775995
149,3600000,0,0,120000,3,360000,250,23,5750,50,260,13000,30,1283,38490,20,10853,217060,10,16672,166720,5,141290,706450
148,3600000,0,0,120000,0,0,250,29,7250,50,217,10850,30,1008,30240,20,8741,174820,10,15185,151850,5,124371,621855
147,3600000,0,0,120000,4,480000,250,52,13000,50,310,15500,30,1635,49050,20,11644,232880,10,20189,201890,5,147316,736580
146,3600000,0,0,120000,0,0,250,23,5750,50,166,8300,30,975,29250,20,9161,183220,10,13958,139580,5,124378,621890
145,3600000,1,3600000,120000,3,360000,250,20,5000,50,213,10650,30,879,26370,20,9776,195520,10,12426,124260,5,136476,682380
144,3600000,0,0,120000,1,120000,250,42,10500,50,391,19550,30,1637,49110,20,14084,281680,10,18501,185010,5,158005,790025
143,3600000,0,0,120000,0,0,250,24,6000,50,283,14150,30,1122,33660,20,11417,228340,10,14136,141360,5,153732,768660
142,3600000,0,0,120000,0,0,250,34,8500,50,207,10350,30,1147,34410,20,9418,188360,10,14972,149720,5,133363,666815
141,3600000,0,0,120000,1,120000,250,43,10750,50,317,15850,30,1540,46200,20,11975,239500,10,19159,191590,5,155489,777445
140,3600000,0,0,120000,0,0,250,28,7000,50,228,11400,30,1056,31680,20,9406,188120,10,14585,145850,5,130162,650810
139,3600000,0,0,120000,1,120000,250,32,8000,50,253,12650,30,1372,41160,20,11644,232880,10,16446,164460,5,156648,783240
138,3600000,0,0,120000,3,360000,250,34,8500,50,350,17500,30,1363,40890,20,12212,244240,10,17358,173580,5,157047,785235
137,3600000,0,0,120000,4,480000,250,42,10500,50,442,22100,30,1468,44040,20,14282,285640,10,16587,165870,5,165412,827060
136,3600000,0,0,120000,0,0,250,46,11500,50,279,13950,30,1743,52290,20,13324,266480,10,20330,203300,5,167548,837740
135,3600000,0,0,120000,0,0,250,35,8750,50,228,11400,30,1250,37500,20,10453,209060,10,18531,185310,5,148515,742575
134,3600000,0,0,120000,1,120000,250,25,6250,50,291,14550,30,1302,39060,20,11386,227720,10,15954,159540,5,147896,739480
133,3600000,0,0,120000,1,120000,250,25,6250,50,219,10950,30,1148,34440,20,10516,210320,10,15909,159090,5,144165,720825
132,3600000,0,0,120000,1,120000,250,29,7250,50,325,16250,30,1326,39780,20,11684,233680,10,17132,171320,5,154139,770695
131,3600000,1,3600000,120000,10,1200000,250,63,15750,50,772,38600,30,1360,40800,20,14229,284580,10,16519,165190,5,162714,813570
130,3600000,0,0,120000,0,0,250,28,7000,50,282,14100,30,1363,40890,20,12684,253680,10,18032,180320,5,161066,805330
129,3600000,0,0,120000,0,0,250,36,9000,50,330,16500,30,1506,45180,20,13009,260180,10,19720,197200,5,165340,826700
128,3600000,0,0,120000,3,360000,250,25,6250,50,267,13350,30,1220,36600,20,11759,235180,10,18274,182740,5,163967,819835
127,3600000,0,0,120000,1,120000,250,19,4750,50,252,12600,30,1151,34530,20,9641,192820,10,15908,159080,5,142381,711905
126,3600000,0,0,120000,2,240000,250,56,14000,50,404,20200,30,1732,51960,20,14210,284200,10,20628,206280,5,169085,845425
125,3600000,0,0,120000,2,240000,250,25,6250,50,224,11200,30,1269,38070,20,9989,199780,10,18611,186110,5,141777,708885
124,3600000,0,0,120000,0,0,250,22,5500,50,202,10100,30,957,28710,20,10251,205020,10,13783,137830,5,150271,751355
123,3600000,0,0,120000,2,240000,250,29,7250,50,258,12900,30,1391,41730,20,11423,228460,10,18503,185030,5,154718,773590
122,3600000,0,0,120000,2,240000,250,38,9500,50,221,11050,30,1076,32280,20,9569,191380,10,15040,150400,5,134056,670280
121,3600000,0,0,120000,3,360000,250,27,6750,50,219,10950,30,1147,34410,20,10590,211800,10,16414,164140,5,146772,733860
120,3600000,0,0,120000,2,240000,250,40,10000,50,354,17700,30,1173,35190,20,11029,220580,10,15184,151840,5,140645,703225
119,3600000,0,0,120000,1,120000,250,26,6500,50,303,15150,30,903,27090,20,10567,211340,10,12929,129290,5,144574,722870
118,3600000,0,0,120000,0,0,250,27,6750,50,260,13000,30,1112,33360,20,9694,193880,10,14518,145180,5,132452,662260
117,3600000,0,0,120000,1,120000,250,36,9000,50,309,15450,30,1106,33180,20,12319,246380,10,13280,132800,5,153294,766470
116,3600000,0,0,120000,2,240000,250,23,5750,50,215,10750,30,1140,34200,20,9492,189840,10,14502,145020,5,128594,642970
115,3600000,3,10800000,120000,1,120000,250,40,10000,50,291,14550,30,1544,46320,20,11387,227740,10,18315,183150,5,136075,680375
114,3600000,0,0,120000,0,0,250,18,4500,50,234,11700,30,1163,34890,20,9209,184180,10,16007,160070,5,125556,627780
113,3600000,0,0,120000,1,120000,250,17,4250,50,167,8350,30,874,26220,20,8456,169120,10,10808,108080,5,117896,589480
112,3600000,0,0,120000,1,120000,250,25,6250,50,232,11600,30,998,29940,20,10165,203300,10,13181,131810,5,133319,666595
111,3600000,0,0,120000,3,360000,250,19,4750,50,194,9700,30,798,23940,20,9358,187160,10,10703,107030,5,120458,602290
110,3600000,1,3600000,120000,0,0,250,27,6750,50,197,9850,30,1039,31170,20,8141,162820,10,12919,129190,5,115598,577990
109,3600000,0,0,120000,0,0,250,15,3750,50,154,7700,30,836,25080,20,7237,144740,10,12065,120650,5,102752,513760
108,3600000,0,0,120000,2,240000,250,39,9750,50,425,21250,30,1336,40080,20,11699,233980,10,14114,141140,5,126805,634025
107,3600000,0,0,120000,1,120000,250,72,18000,50,188,9400,30,1000,30000,20,7130,142600,10,12061,120610,5,95468,477340
106,3600000,0,0,120000,2,240000,250,17,4250,50,191,9550,30,974,29220,20,8097,161940,10,13747,137470,5,112143,560715
105,3600000,0,0,120000,0,0,250,24,6000,50,222,11100,30,932,27960,20,8620,172400,10,11700,117000,5,116189,580945
104,3600000,0,0,120000,2,240000,250,20,5000,50,237,11850,30,926,27780,20,9350,187000,10,12622,126220,5,124242,621210
103,3600000,0,0,120000,1,120000,250,24,6000,50,197,9850,30,877,26310,20,8608,172160,10,12913,129130,5,118221,591105
102,3600000,0,0,120000,0,0,250,29,7250,50,232,11600,30,949,28470,20,9726,194520,10,13103,131030,5,128193,640965
101,3600000,0,0,120000,1,120000,250,25,6250,50,204,10200,30,1028,30840,20,8807,176140,10,13619,136190,5,122894,614470
100,3600000,0,0,120000,2,240000,250,17,4250,50,222,11100,30,1005,30150,20,9538,190760,10,13716,137160,5,128759,643795
99,3600000,0,0,120000,0,0,250,22,5500,50,187,9350,30,898,26940,20,8264,165280,10,12239,122390,5,115778,578890
98,3600000,0,0,120000,2,240000,250,20,5000,50,242,12100,30,1059,31770,20,9133,182660,10,14061,140610,5,122171,610855
97,3600000,0,0,120000,0,0,250,19,4750,50,168,8400,30,859,25770,20,7601,152020,10,11971,119710,5,108052,540260
96,3600000,0,0,120000,1,120000,250,43,10750,50,306,15300,30,1529,45870,20,11394,227880,10,18012,180120,5,138818,694090
95,3600000,0,0,120000,0,0,250,18,4500,50,204,10200,30,948,28440,20,8343,166860,10,13136,131360,5,116842,584210
94,3600000,0,0,120000,1,120000,250,25,6250,50,271,13550,30,948,28440,20,10849,216980,10,12610,126100,5,138049,690245
93,3600000,0,0,120000,0,0,250,23,5750,50,166,8300,30,872,26160,20,7547,150940,10,12546,125460,5,111095,555475
92,3600000,0,0,120000,2,240000,250,24,6000,50,192,9600,30,865,25950,20,8558,171160,10,12094,120940,5,119285,596425
91,3600000,0,0,120000,0,0,250,37,9250,50,289,14450,30,1390,41700,20,10622,212440,10,16461,164610,5,134030,670150
90,3600000,0,0,120000,0,0,250,36,9000,50,241,12050,30,1213,36390,20,9863,197260,10,15582,155820,5,127878,639390
89,3600000,0,0,120000,0,0,250,15,3750,50,228,11400,30,967,29010,20,9352,187040,10,12876,128760,5,124494,622470
88,3600000,1,3600000,120000,1,120000,250,19,4750,50,236,11800,30,1009,30270,20,9587,191740,10,13388,133880,5,130404,652020
87,3600000,0,0,120000,1,120000,250,13,3250,50,252,12600,30,831,24930,20,9694,193880,10,11308,113080,5,128431,642155
86,3600000,0,0,120000,1,120000,250,24,6000,50,204,10200,30,946,28380,20,9210,184200,10,13046,130460,5,127471,637355
85,3600000,1,3600000,120000,0,0,250,26,6500,50,215,10750,30,956,28680,20,9256,185120,10,13272,132720,5,130108,650540
84,3600000,0,0,120000,3,360000,250,21,5250,50,193,9650,30,975,29250,20,9222,184440,10,14358,143580,5,128944,644720
83,3600000,0,0,120000,1,120000,250,40,10000,50,256,12800,30,1282,38460,20,11518,230360,10,16761,167610,5,146191,730955
82,3600000,0,0,120000,0,0,250,15,3750,50,211,10550,30,927,27810,20,8376,167520,10,12955,129550,5,117805,589025
81,3600000,0,0,120000,0,0,250,24,6000,50,240,12000,30,984,29520,20,9924,198480,10,13268,132680,5,130380,651900
80,3600000,1,3600000,120000,2,240000,250,25,6250,50,255,12750,30,851,25530,20,9704,194080,10,11587,115870,5,127178,635890
79,3600000,0,0,120000,0,0,250,33,8250,50,221,11050,30,1113,33390,20,9742,194840,10,14272,142720,5,126690,633450
78,3600000,0,0,120000,1,120000,250,14,3500,50,195,9750,30,875,26250,20,8299,165980,10,12271,122710,5,119355,596775
77,3600000,0,0,120000,1,120000,250,17,4250,50,217,10850,30,986,29580,20,9098,181960,10,13568,135680,5,121915,609575
76,3600000,0,0,120000,3,360000,250,46,11500,50,462,23100,30,1441,43230,20,12575,251500,10,17003,170030,5,142235,711175
75,3600000,0,0,120000,0,0,250,19,4750,50,192,9600,30,967,29010,20,8345,166900,10,13285,132850,5,121624,608120
74,3600000,0,0,120000,3,360000,250,17,4250,50,250,12500,30,1062,31860,20,9663,193260,10,14837,148370,5,131649,658245
73,3600000,0,0,120000,2,240000,250,62,15500,50,334,16700,30,1694,50820,20,11611,232220,10,19354,193540,5,141086,705430
72,3600000,0,0,120000,1,120000,250,25,6250,50,213,10650,30,1211,36330,20,9727,194540,10,16277,162770,5,132104,660520
71,3600000,0,0,120000,0,0,250,28,7000,50,243,12150,30,994,29820,20,9687,193740,10,13538,135380,5,131186,655930
70,3600000,0,0,120000,1,120000,250,34,8500,50,249,12450,30,1091,32730,20,10019,200380,10,15151,151510,5,136586,682930
69,3600000,0,0,120000,1,120000,250,28,7000,50,183,9150,30,986,29580,20,8956,179120,10,13463,134630,5,122768,613840
68,3600000,0,0,120000,0,0,250,26,6500,50,254,12700,30,1129,33870,20,10802,216040,10,15474,154740,5,140650,703250
67,3600000,0,0,120000,2,240000,250,31,7750,50,246,12300,30,989,29670,20,9065,181300,10,12908,129080,5,124404,622020
66,3600000,0,0,120000,0,0,250,18,4500,50,204,10200,30,1025,30750,20,8834,176680,10,14304,143040,5,126097,630485
65,3600000,0,0,120000,1,120000,250,19,4750,50,196,9800,30,944,28320,20,8541,170820,10,13652,136520,5,122353,611765
64,3600000,1,3600000,120000,1,120000,250,40,10000,50,310,15500,30,1486,44580,20,10801,216020,10,18223,182230,5,136463,682315
63,3600000,0,0,120000,1,120000,250,26,6500,50,298,14900,30,1149,34470,20,11098,221960,10,15186,151860,5,138005,690025
62,3600000,0,0,120000,1,120000,250,28,7000,50,246,12300,30,999,29970,20,10243,204860,10,13809,138090,5,136590,682950
61,3600000,0,0,120000,2,240000,250,28,7000,50,386,19300,30,1237,37110,20,12878,257560,10,15212,152120,5,152708,763540
60,3600000,0,0,120000,3,360000,250,36,9000,50,298,14900,30,1268,38040,20,12628,252560,10,16151,161510,5,160718,803590
59,3600000,0,0,120000,2,240000,250,36,9000,50,378,18900,30,1057,31710,20,10738,214760,10,14228,142280,5,138504,692520
58,3600000,0,0,120000,0,0,250,33,8250,50,248,12400,30,1071,32130,20,10514,210280,10,14732,147320,5,145604,728020
57,3600000,0,0,120000,1,120000,250,19,4750,50,279,13950,30,1067,32010,20,11180,223600,10,14553,145530,5,149300,746500
56,3600000,0,0,120000,0,0,250,23,5750,50,267,13350,30,1421,42630,20,11650,233000,10,17838,178380,5,151674,758370
55,3600000,0,0,120000,0,0,250,26,6500,50,237,11850,30,1144,34320,20,9927,198540,10,15870,158700,5,137776,688880
54,3600000,0,0,120000,0,0,250,20,5000,50,223,11150,30,1033,30990,20,9205,184100,10,14867,148670,5,132508,662540
53,3600000,0,0,120000,1,120000,250,22,5500,50,261,13050,30,1070,32100,20,11218,224360,10,14752,147520,5,148291,741455
52,3600000,0,0,120000,3,360000,250,27,6750,50,233,11650,30,1135,34050,20,10323,206460,10,15943,159430,5,141284,706420
51,3600000,1,3600000,120000,1,120000,250,43,10750,50,343,17150,30,1772,53160,20,13426,268520,10,20946,209460,5,162957,814785
50,3600000,0,0,120000,2,240000,250,25,6250,50,278,13900,30,1178,35340,20,10897,217940,10,16744,167440,5,152517,762585
49,3600000,0,0,120000,2,240000,250,35,8750,50,220,11000,30,1142,34260,20,10071,201420,10,14798,147980,5,142413,712065
48,3600000,0,0,120000,0,0,250,31,7750,50,263,13150,30,1428,42840,20,10930,218600,10,18301,183010,5,144840,724200
47,3600000,2,7200000,120000,0,0,250,35,8750,50,254,12700,30,1127,33810,20,9723,194460,10,15254,152540,5,129630,648150
46,3600000,0,0,120000,0,0,250,17,4250,50,217,10850,30,1053,31590,20,9184,183680,10,15292,152920,5,129426,647130
45,3600000,0,0,120000,2,240000,250,42,10500,50,273,13650,30,1148,34440,20,10543,210860,10,16045,160450,5,136468,682340
44,3600000,0,0,120000,3,360000,250,26,6500,50,256,12800,30,1207,36210,20,11177,223540,10,16022,160220,5,143173,715865
43,3600000,1,3600000,120000,4,480000,250,22,5500,50,206,10300,30,1145,34350,20,9388,187760,10,15948,159480,5,129036,645180
42,3600000,0,0,120000,0,0,250,21,5250,50,236,11800,30,1034,31020,20,9501,190020,10,14385,143850,5,126633,633165
41,3600000,0,0,120000,1,120000,250,21,5250,50,222,11100,30,1030,30900,20,8684,173680,10,14181,141810,5,116355,581775
40,3600000,0,0,120000,3,360000,250,20,5000,50,189,9450,30,993,29790,20,8485,169700,10,13671,136710,5,117349,586745
39,3600000,1,3600000,120000,1,120000,250,25,6250,50,221,11050,30,944,28320,20,8382,167640,10,12999,129990,5,113685,568425
38,3600000,0,0,120000,0,0,250,17,4250,50,192,9600,30,849,25470,20,8755,175100,10,11900,119000,5,117926,589630
37,3600000,0,0,120000,2,240000,250,24,6000,50,246,12300,30,985,29550,20,9833,196660,10,13390,133900,5,124833,624165
36,3600000,0,0,120000,1,120000,250,18,4500,50,243,12150,30,1036,31080,20,9070,181400,10,14307,143070,5,121458,607290
35,3600000,0,0,120000,1,120000,250,21,5250,50,211,10550,30,1183,35490,20,9573,191460,10,14814,148140,5,121182,605910
34,3600000,0,0,120000,1,120000,250,18,4500,50,199,9950,30,862,25860,20,8705,174100,10,12586,125860,5,121268,606340
33,3600000,0,0,120000,3,360000,250,24,6000,50,216,10800,30,1029,30870,20,9057,181140,10,13557,135570,5,119054,595270
32,3600000,0,0,120000,1,120000,250,14,3500,50,174,8700,30,868,26040,20,7763,155260,10,12128,121280,5,110592,552960
31,3600000,0,0,120000,1,120000,250,27,6750,50,228,11400,30,1053,31590,20,8804,176080,10,13686,136860,5,120368,601840
30,3600000,0,0,120000,0,0,250,25,6250,50,216,10800,30,1046,31380,20,8384,167680,10,14432,144320,5,116602,583010
29,3600000,0,0,120000,0,0,250,21,5250,50,197,9850,30,960,28800,20,8476,169520,10,12523,125230,5,112110,560550
28,3600000,0,0,120000,2,240000,250,24,6000,50,211,10550,30,991,29730,20,8144,162880,10,13986,139860,5,112028,560140
27,3600000,0,0,120000,1,120000,250,38,9500,50,280,14000,30,1253,37590,20,9579,191580,10,14586,145860,5,119587,597935
26,3600000,0,0,120000,2,240000,250,32,8000,50,197,9850,30,987,29610,20,8909,178180,10,13547,135470,5,118858,594290
25,3600000,0,0,120000,0,0,250,20,5000,50,161,8050,30,796,23880,20,7460,149200,10,11628,116280,5,104078,520390
24,3600000,1,3600000,120000,0,0,250,29,7250,50,242,12100,30,977,29310,20,9886,197720,10,12731,127310,5,127700,638500
23,3600000,0,0,120000,3,360000,250,25,6250,50,212,10600,30,1098,32940,20,8494,169880,10,13559,135590,5,113792,568960
22,3600000,0,0,120000,1,120000,250,27,6750,50,263,13150,30,983,29490,20,10076,201520,10,13155,131550,5,130899,654495
21,3600000,0,0,120000,2,240000,250,26,6500,50,184,9200,30,903,27090,20,7963,159260,10,12239,122390,5,110305,551525
20,3600000,0,0,3600000,2,7200000,250,28,7000,50,179,8950,30,996,29880,20,8636,172720,10,13762,137620,5,119583,597915
19,3600000,0,0,120000,1,120000,250,26,6500,50,243,12150,30,1037,31110,20,9423,188460,10,13993,139930,5,122363,611815
18,3600000,0,0,120000,2,240000,250,28,7000,50,185,9250,30,899,26970,20,8226,164520,10,12516,125160,5,113839,569195
17,3600000,0,0,120000,2,240000,250,21,5250,50,225,11250,30,1011,30330,20,8945,178900,10,13311,133110,5,117404,587020
16,3600000,0,0,120000,2,240000,250,26,6500,50,294,14700,30,1120,33600,20,10198,203960,10,13802,138020,5,127157,635785
15,3600000,0,0,120000,0,0,250,23,5750,50,199,9950,30,1011,30330,20,9040,180800,10,14121,141210,5,123859,619295
14,3600000,0,0,120000,1,120000,250,22,5500,50,213,10650,30,1028,30840,20,9616,192320,10,13681,136810,5,134619,673095
13,3600000,0,0,120000,2,240000,250,26,6500,50,272,13600,30,1078,32340,20,10007,200140,10,13767,137670,5,125301,626505
12,3600000,0,0,120000,1,120000,250,15,3750,50,215,10750,30,917,27510,20,8645,172900,10,13584,135840,5,117966,589830
11,3600000,0,0,120000,1,120000,250,29,7250,50,196,9800,30,899,26970,20,8781,175620,10,12226,122260,5,111035,555175
10,3600000,0,0,120000,3,360000,250,26,6500,50,304,15200,30,1347,40410,20,11027,220540,10,16241,162410,5,135863,679315
9,3600000,0,0,120000,0,0,250,26,6500,50,213,10650,30,969,29070,20,8288,165760,10,12967,129670,5,113763,568815
8,3600000,0,0,120000,0,0,250,21,5250,50,190,9500,30,913,27390,20,8562,171240,10,13806,138060,5,125733,628665
7,3600000,0,0,120000,1,120000,250,17,4250,50,227,11350,30,1125,33750,20,9908,198160,10,13906,139060,5,124192,620960
6,3600000,0,0,120000,1,120000,250,16,4000,50,189,9450,30,930,27900,20,8360,167200,10,13028,130280,5,116669,583345
5,3600000,0,0,120000,1,120000,250,31,7750,50,210,10500,30,1026,30780,20,8699,173980,10,14584,145840,5,118151,590755
