No.,5+life Prize,5+life Winners,5+life Total,5 Prize,5 Winners,5 Total,4+life Prize,4+life Winners,4+life Total,4 Prize,4 Winners,4 Total,3+life Prize,3+life Winners,3+life Total,3 Prize,3 Winners,3 Total,2+life Prize,2+life Winners,2+life Total,2 Prize,2 Winners,2 Total
372,3600000,0,0,120000,1,120000,250,32,8000,50,221,11050,30,1184,35520,20,10418,208360,10,16269,162690,5,145440,727200
371,3600000,1,3600000,120000,0,0,250,37,9250,50,248,12400,30,1224,36720,20,11061,221220,10,17408,174080,5,151598,757990
370,3600000,0,0,120000,1,120000,250,39,9750,50,349,17450,30,1759,52770,20,12922,258440,10,21400,214000,5,161560,807800
369,3600000,0,0,120000,1,120000,250,42,10500,50,304,15200,30,1399,41970,20,12735,254700,10,17712,177120,5,163586,817930
368,3600000,0,0,120000,0,0,250,17,4250,50,223,11150,30,909,27270,20,9841,196820,10,12577,125770,5,139469,697345
367,3600000,0,0,120000,1,120000,250,18,4500,50,222,11100,30,846,25380,20,8472,169440,10,11427,114270,5,113079,565395
366,3600000,1,3600000,120000,1,120000,250,25,6250,50,272,13600,30,1269,38070,20,11264,225280,10,15961,159610,5,140753,703765
365,3600000,0,0,120000,0,0,250,30,7500,50,202,10100,30,1302,39060,20,9920,198400,10,18071,180710,5,131752,658760
364,3600000,0,0,120000,1,120000,250,25,6250,50,228,11400,30,1051,31530,20,9696,193920,10,15569,155690,5,137025,685125
363,3600000,0,0,120000,1,120000,250,24,6000,50,297,14850,30,1391,41730,20,11644,232880,10,18427,184270,5,150702,753510
362,3600000,1,3600000,120000,3,360000,250,25,6250,50,280,14000,30,1353,40590,20,11287,225740,10,17086,170860,5,147057,735285
361,3600000,0,0,120000,2,240000,250,41,10250,50,262,13100,30,1146,34380,20,10364,207280,10,15479,154790,5,136631,683155
360,3600000,0,0,120000,0,0,250,37,9250,50,226,11300,30,1370,41100,20,9795,195900,10,18631,186310,5,135546,677730
359,3600000,0,0,120000,2,240000,250,21,5250,50,269,13450,30,875,26250,20,9769,195380,10,12137,121370,5,134310,671550
358,3600000,0,0,120000,1,120000,250,22,5500,50,271,13550,30,859,25770,20,10735,214700,10,12435,124350,5,136882,684410
357,3600000,0,0,120000,3,360000,250,32,8000,50,308,15400,30,1190,35700,20,11180,223600,10,15419,154190,5,143493,717465
356,3600000,0,0,120000,0,0,250,28,7000,50,252,12600,30,1370,41100,20,10255,205100,10,17800,178000,5,139727,698635
355,3600000,0,0,120000,0,0,250,31,7750,50,211,10550,30,1363,40890,20,10374,207480,10,18250,182500,5,143114,715570
354,3600000,0,0,120000,0,0,250,19,4750,50,204,10200,30,1156,34680,20,9338,186760,10,15060,150600,5,132277,661385
353,3600000,2,7200000,120000,4,480000,250,56,14000,50,415,20750,30,1615,48450,20,14336,286720,10,18335,183350,5,163431,817155
352,3600000,0,0,120000,2,240000,250,40,10000,50,272,13600,30,1523,45690,20,12266,245320,10,17516,175160,5,153120,765600
351,3600000,0,0,120000,0,0,250,23,5750,50,271,13550,30,1172,35160,20,11007,220140,10,15952,159520,5,150902,754510
350,3600000,0,0,120000,2,240000,250,25,6250,50,263,13150,30,1078,32340,20,10389,207780,10,14893,148930,5,143906,719530
349,3600000,0,0,120000,0,0,250,17,4250,50,217,10850,30,1107,33210,20,10240,204800,10,14746,147460,5,144110,720550
348,3600000,0,0,120000,0,0,250,28,7000,50,217,10850,30,1316,39480,20,10406,208120,10,19214,192140,5,143816,719080
347,3600000,0,0,120000,0,0,250,29,7250,50,249,12450,30,1108,33240,20,10676,213520,10,14881,148810,5,147191,735955
346,3600000,0,0,120000,1,120000,250,29,7250,50,197,9850,30,1099,32970,20,9635,192700,10,15453,154530,5,136410,682050
345,3600000,0,0,120000,3,360000,250,29,7250,50,301,15050,30,1403,42090,20,12675,253500,10,18125,181250,5,158589,792945
344,3600000,0,0,120000,1,120000,250,22,5500,50,247,12350,30,1044,31320,20,10328,206560,10,14488,144880,5,142564,712820
343,3600000,0,0,120000,1,120000,250,28,7000,50,257,12850,30,1331,39930,20,11365,227300,10,16539,165390,5,146990,734950
342,3600000,0,0,120000,2,240000,250,34,8500,50,215,10750,30,1118,33540,20,10381,207620,10,15985,159850,5,139166,695830
341,3600000,0,0,120000,1,120000,250,19,4750,50,199,9950,30,923,27690,20,8655,173100,10,14111,141110,5,127501,637505
340,3600000,0,0,120000,1,120000,250,30,7500,50,226,11300,30,1048,31440,20,10021,200420,10,14766,147660,5,140254,701270
339,3600000,0,0,120000,1,120000,250,26,6500,50,275,13750,30,1055,31650,20,11031,220620,10,13746,137460,5,146711,733555
338,3600000,0,0,120000,1,120000,250,35,8750,50,270,13500,30,1335,40050,20,11101,222020,10,17334,173340,5,148973,744865
337,3600000,0,0,120000,1,120000,250,33,8250,50,299,14950,30,1064,31920,20,10642,212840,10,14052,140520,5,141847,709235
336,3600000,0,0,120000,1,120000,250,26,6500,50,259,12950,30,1230,36900,20,10888,217760,10,16069,160690,5,146292,731460
335,3600000,0,0,120000,1,120000,250,20,5000,50,234,11700,30,857,25710,20,9322,186440,10,12473,124730,5,136069,680345
334,3600000,0,0,120000,2,240000,250,25,6250,50,201,10050,30,1180,35400,20,9244,184880,10,17070,170700,5,135547,677735
333,3600000,0,0,120000,1,120000,250,37,9250,50,308,15400,30,1495,44850,20,12502,250040,10,19584,195840,5,160260,801300
332,3600000,0,0,120000,0,0,250,24,6000,50,256,12800,30,944,28320,20,11291,225820,10,13239,132390,5,154173,770865
331,3600000,0,0,120000,2,240000,250,30,7500,50,267,13350,30,1258,37740,20,11141,222820,10,16405,164050,5,148624,743120
330,3600000,0,0,120000,1,120000,250,37,9250,50,244,12200,30,1629,48870,20,11974,239480,10,21301,213010,5,156178,780890
329,3600000,0,0,120000,0,0,250,28,7000,50,232,11600,30,1128,33840,20,10649,212980,10,15225,152250,5,152803,764015
328,3600000,0,0,120000,2,240000,250,21,5250,50,240,12000,30,1228,36840,20,9954,199080,10,15926,159260,5,139672,698360
327,3600000,0,0,120000,1,120000,250,25,6250,50,278,13900,30,1140,34200,20,10548,210960,10,15090,150900,5,136805,684025
326,3600000,0,0,120000,0,0,250,35,8750,50,295,14750,30,1206,36180,20,10533,210660,10,16106,161060,5,140233,701165
325,3600000,0,0,120000,0,0,250,20,5000,50,219,10950,30,1062,31860,20,9306,186120,10,15888,158880,5,128922,644610
324,3600000,0,0,120000,0,0,250,35,8750,50,180,9000,30,986,29580,20,8877,177540,10,13799,137990,5,125674,628370
323,3600000,0,0,120000,3,360000,250,32,8000,50,240,12000,30,1360,40800,20,10445,208900,10,18184,181840,5,135373,676865
322,3600000,0,0,120000,0,0,250,33,8250,50,272,13600,30,1170,35100,20,10713,214260,10,15661,156610,5,143774,718870
321,3600000,1,3600000,120000,1,120000,250,36,9000,50,267,13350,30,1246,37380,20,10927,218540,10,15734,157340,5,142726,713630
320,3600000,0,0,120000,2,240000,250,46,11500,50,291,14550,30,1667,50010,20,12210,244200,10,19927,199270,5,151875,759375
319,3600000,0,0,120000,1,120000,250,26,6500,50,233,11650,30,1086,32580,20,9683,193660,10,14490,144900,5,130269,651345
318,3600000,0,0,120000,3,360000,250,20,5000,50,230,11500,30,1207,36210,20,9998,199960,10,16882,168820,5,134310,671550
317,3600000,0,0,120000,1,120000,250,22,5500,50,210,10500,30,989,29670,20,9072,181440,10,13810,138100,5,123508,617540
316,3600000,0,0,120000,0,0,250,14,3500,50,185,9250,30,803,24090,20,8146,162920,10,10916,109160,5,114906,574530
315,3600000,0,0,120000,0,0,250,29,7250,50,278,13900,30,1368,41040,20,11071,221420,10,17716,177160,5,146853,734265
314,3600000,0,0,120000,0,0,250,31,7750,50,211,10550,30,1211,36330,20,9786,195720,10,17300,173000,5,137894,689470
313,3600000,0,0,120000,3,360000,250,30,7500,50,233,11650,30,1205,36150,20,10269,205380,10,16898,168980,5,143138,715690
312,3600000,0,0,120000,2,240000,250,22,5500,50,411,20550,30,1324,39720,20,14226,284520,10,16514,165140,5,170756,853780
311,3600000,0,0,120000,1,120000,250,32,8000,50,195,9750,30,1144,34320,20,10012,200240,10,15859,158590,5,145916,729580
310,3600000,0,0,120000,0,0,250,30,7500,50,184,9200,30,1021,30630,20,10029,200580,10,14244,142440,5,141419,707095
309,3600000,0,0,120000,3,360000,250,29,7250,50,301,15050,30,1325,39750,20,11961,239220,10,17808,178080,5,158111,790555
308,3600000,0,0,120000,0,0,250,27,6750,50,222,11100,30,1252,37560,20,10276,205520,10,17768,177680,5,139981,699905
307,3600000,0,0,120000,2,240000,250,36,9000,50,277,13850,30,1399,41970,20,11304,226080,10,17965,179650,5,152400,762000
306,3600000,0,0,120000,0,0,250,33,8250,50,203,10150,30,1138,34140,20,10073,201460,10,15790,157900,5,140749,703745
305,3600000,1,3600000,120000,2,240000,250,43,10750,50,412,20600,30,1566,46980,20,13435,268700,10,19479,194790,5,165828,829140
304,3600000,0,0,120000,1,120000,250,13,3250,50,201,10050,30,950,28500,20,10183,203660,10,13572,135720,5,151786,758930
303,3600000,1,3600000,120000,2,240000,250,20,5000,50,199,9950,30,974,29220,20,9967,199340,10,13266,132660,5,144631,723155
302,3600000,0,0,120000,1,120000,250,22,5500,50,290,14500,30,1273,38190,20,11002,220040,10,17832,178320,5,148670,743350
301,3600000,0,0,120000,1,120000,250,24,6000,50,287,14350,30,1331,39930,20,12326,246520,10,17516,175160,5,160960,804800
300,3600000,0,0,120000,3,360000,250,31,7750,50,242,12100,30,1297,38910,20,10962,219240,10,18536,185360,5,147877,739385
299,3600000,1,3600000,120000,2,240000,250,38,9500,50,301,15050,30,1475,44250,20,11567,231340,10,19472,194720,5,150741,753705
298,3600000,0,0,120000,2,240000,250,28,7000,50,270,13500,30,1186,35580,20,11531,230620,10,15903,159030,5,158273,791365
297,3600000,0,0,120000,2,240000,250,34,8500,50,302,15100,30,1801,54030,20,12325,246500,10,22160,221600,5,162754,813770
296,3600000,0,0,120000,0,0,250,28,7000,50,314,15700,30,1375,41250,20,11291,225820,10,17538,175380,5,151814,759070
295,3600000,0,0,120000,1,120000,250,34,8500,50,220,11000,30,1149,34470,20,10326,206520,10,15996,159960,5,144811,724055
294,3600000,0,0,120000,0,0,250,33,8250,50,227,11350,30,1222,36660,20,10612,212240,10,16299,162990,5,140085,700425
293,3600000,0,0,120000,0,0,250,31,7750,50,303,15150,30,1206,36180,20,11725,234500,10,16891,168910,5,157662,788310
292,3600000,1,3600000,120000,0,0,250,35,8750,50,237,11850,30,1163,34890,20,10071,201420,10,16107,161070,5,139999,699995
291,3600000,0,0,120000,1,120000,250,24,6000,50,261,13050,30,1196,35880,20,10360,207200,10,16877,168770,5,145389,726945
290,3600000,0,0,120000,2,240000,250,16,4000,50,261,13050,30,1211,36330,20,11011,220220,10,16736,167360,5,145865,729325
289,3600000,0,0,120000,4,480000,250,25,6250,50,221,11050,30,1083,32490,20,9173,183460,10,15858,158580,5,130847,654235
288,3600000,0,0,120000,1,120000,250,27,6750,50,226,11300,30,1193,35790,20,9399,187980,10,16523,165230,5,131618,658090
287,3600000,0,0,120000,2,240000,250,40,10000,50,322,16100,30,1359,40770,20,11914,238280,10,18351,183510,5,156614,783070
286,3600000,0,0,120000,1,120000,250,28,7000,50,275,13750,30,1003,30090,20,10391,207820,10,13913,139130,5,139964,699820
285,3600000,0,0,120000,2,240000,250,24,6000,50,278,13900,30,933,27990,20,10203,204060,10,12453,124530,5,140142,700710
284,3600000,0,0,120000,1,120000,250,24,6000,50,184,9200,30,956,28680,20,8878,177560,10,14712,147120,5,129224,646120
283,3600000,0,0,120000,2,240000,250,29,7250,50,227,11350,30,1155,34650,20,9360,187200,10,16225,162250,5,131606,658030
282,3600000,0,0,120000,1,120000,250,24,6000,50,290,14500,30,1268,38040,20,11177,223540,10,16636,166360,5,146902,734510
281,3600000,0,0,120000,3,360000,250,19,4750,50,301,15050,30,1307,39210,20,10964,219280,10,16534,165340,5,141875,709375
280,3600000,0,0,120000,2,240000,250,31,7750,50,188,9400,30,1141,34230,20,9380,187600,10,16389,163890,5,133081,665405
279,3600000,0,0,120000,1,120000,250,15,3750,50,230,11500,30,965,28950,20,10439,208780,10,13853,138530,5,140403,702015
278,3600000,0,0,120000,0,0,250,26,6500,50,227,11350,30,958,28740,20,10435,208700,10,13255,132550,5,149833,749165
277,3600000,0,0,120000,3,360000,250,50,12500,50,359,17950,30,1612,48360,20,13312,266240,10,19024,190240,5,162269,811345
276,3600000,1,3600000,120000,1,120000,250,31,7750,50,341,17050,30,1379,41370,20,12475,249500,10,17568,175680,5,157825,789125
275,3600000,0,0,120000,2,240000,250,24,6000,50,231,11550,30,1142,34260,20,10216,204320,10,16723,167230,5,143645,718225
