DrawDate,Match 6 Prize,Match 6 Winners,Match 6 Total,Match 5 Prize,Match 5 Winners,Match 5 Total,Match 4 Prize,Match 4 Winners,Match 4 Total,Match 4 plus Bonus Prize,Match 4 plus Bonus Winners,Match 4 plus Bonus Total,Match 3 plus Bonus Prize,Match 3 plus Bonus Winners,Match 3 plus Bonus Total,Match 5 plus Bonus Prize,Match 5 plus Bonus Winners,Match 5 plus Bonus Total,Match 3 Prize,Match 3 Winners,Match 3 Total,Match 2 plus Bonus Prize,Match 2 plus Bonus Winners,Match 2 plus Bonus Total
2024-05-04,3104175,0,0,1937,15,29055,56,843,47208,183,40,7320,27,1175,31725,48462,0,0,10,14680,146800,3,11705,35115
2024-05-01,2687596,0,0,1131,18,20358,39,839,32721,165,31,5115,26,836,21736,303997,1,303997,8,13096,104768,3,7427,22281
2024-04-27,2395748,0,0,2761,10,27610,59,764,45076,161,43,6923,25,1202,30050,270045,0,0,10,14255,142550,3,11656,34968
2024-04-24,2000000,0,0,1618,12,19416,36,879,31644,153,32,4896,30,713,21390,224006,0,0,7,13204,92428,3,6800,20400
2024-04-20,8970934,1,8970934,1426,23,32798,45,1183,53235,90,92,8280,17,2044,34748,191628,0,0,8,19794,158352,3,17228,51684
2024-04-17,8500774,0,0,2769,9,24921,49,823,40327,216,29,6264,27,1005,27135,136932,0,0,9,13424,120816,3,11007,33021
2024-04-13,8143539,0,0,1927,17,32759,57,933,53181,258,32,8256,28,1269,35532,95373,0,0,10,15963,159630,3,12045,36135
2024-04-10,7673931,0,0,1745,14,24430,50,793,39650,140,44,6160,29,919,26651,40741,0,0,8,14388,115104,3,9042,27126
2024-04-06,7323723,0,0,1337,24,32088,43,1206,51858,192,42,8064,30,1165,34950,53520,1,53520,8,20772,166176,3,10530,31590
2024-04-03,6863669,0,0,750,31,23250,24,1610,38640,150,39,5850,28,890,24920,98617,1,98617,6,18802,112812,3,8125,24375
2024-03-30,6530338,0,0,1709,21,35889,52,1124,58448,167,54,9018,30,1306,39180,59839,0,0,9,19413,174717,3,13094,39282
2024-03-27,6015967,0,0,1087,21,22827,35,1060,37100,66,87,5742,16,1574,25184,38056,1,38056,7,15224,106568,3,12536,37608
2024-03-23,5688840,0,0,1227,25,30675,50,994,49700,110,70,7700,20,1627,32540,87616,1,87616,9,16851,151659,3,15678,47034
2024-03-20,5249016,0,0,1821,12,21852,49,729,35721,153,36,5508,29,806,23374,36449,0,0,8,12758,102064,3,7774,23322
2024-03-16,4935700,0,0,1704,18,30672,48,1044,50112,157,49,7693,23,1467,33741,51144,1,51144,9,17382,156438,3,14026,42078
2024-03-13,4496070,0,0,1281,17,21777,44,810,35640,249,22,5478,28,829,23212,87233,1,87233,8,13326,106608,3,7936,23808
2024-03-09,4183808,0,0,1607,19,30533,60,829,49740,183,42,7686,28,1161,32508,50906,0,0,10,14605,146050,3,12420,37260
2024-03-06,3746227,0,0,746,29,21634,29,1235,35815,181,30,5430,32,733,23456,120437,1,120437,6,16681,100086,3,6954,20862
2024-03-02,3436029,0,0,1476,20,29520,51,938,47838,186,40,7440,30,1059,31770,84350,0,0,9,17159,154431,3,10129,30387
2024-02-28,3012849,0,0,1914,11,21054,56,613,34328,156,34,5304,23,979,22517,35120,0,0,10,10870,108700,3,9998,29994
2024-02-24,2710963,0,0,1112,26,28912,49,951,46599,143,51,7293,25,1252,31300,48201,1,48201,9,15066,135594,3,12388,37164
2024-02-21,2296630,0,0,2299,9,20691,67,505,33835,193,27,5211,34,661,22474,34508,1,34508,11,9704,106744,3,7071,21213
2024-02-17,2000000,0,0,2356,12,28272,60,761,45660,165,43,7095,31,985,30535,170683,1,170683,11,12751,140261,3,9719,29157
2024-02-14,3523021,1,3523021,1155,20,23100,51,732,37332,171,34,5814,30,847,25410,123542,0,0,9,13368,120312,3,7924,23772
2024-02-10,3191981,0,0,1066,28,29848,55,889,48895,198,38,7524,26,1248,32448,85030,0,0,9,15892,143028,3,11106,33318
2024-02-07,2764268,0,0,1175,18,21150,45,767,34515,99,54,5346,16,1433,22928,35272,0,0,8,12364,98912,3,11532,34596
2024-02-03,2461070,0,0,1149,28,32172,50,1047,52350,147,55,8085,25,1401,35025,53638,1,53638,9,17798,160182,3,13202,39606
2024-01-31,2000000,0,0,2925,7,20475,47,702,32994,139,37,5143,22,1022,22484,226373,1,226373,10,10388,103880,3,9398,28194
2024-01-27,14674966,1,14674966,1302,33,42966,45,1541,69345,148,73,10804,24,1973,47352,192228,0,0,8,25276,202208,3,18357,55071
2024-01-24,14058977,0,0,1968,16,31488,56,912,51072,169,47,7943,32,1081,34592,120567,0,0,10,16318,163180,3,10470,31410
2024-01-20,13607503,0,0,1943,21,40803,57,1161,66177,156,66,10296,25,1735,43375,68045,0,0,9,21354,192186,3,17889,53667
2024-01-17,13022596,0,0,833,37,30821,38,1304,49552,78,100,7800,18,1897,34146,51390,1,51390,7,20816,145712,3,15863,47589
2024-01-13,12580851,0,0,3035,13,39455,57,1133,64581,163,61,9943,29,1480,42920,65789,1,65789,10,20270,202700,3,13657,40971
2024-01-10,12015337,0,0,2100,14,29400,50,963,48150,185,40,7400,24,1350,32400,54583,2,109166,9,15732,141588,3,12602,37806
2024-01-06,11593791,0,0,1568,23,36064,61,960,58560,193,47,9071,27,1445,39015,60127,0,0,11,16766,184426,3,13874,41622
2024-01-03,11076949,0,0,856,32,27392,38,1176,44688,128,54,6912,19,1567,29773,209699,1,209699,7,18448,129136,3,13378,40134
2023-12-30,10684117,0,0,1801,18,32418,56,938,52528,148,55,8140,29,1221,35409,163999,0,0,10,16229,162290,3,11688,35064
2023-12-27,10219498,0,0,2306,11,25366,60,686,41160,199,32,6368,29,933,27057,109948,0,0,10,12499,124990,3,9788,29364
2023-12-23,9855901,0,0,1352,30,40560,56,1174,65744,162,63,10206,28,1558,43624,67649,0,0,10,20421,204210,3,15392,46176
