DrawDate,Match 6 Prize,Match 6 Winners,Match 6 Total,Match 5 plus Bonus Prize,Match 5 plus Bonus Winners,Match 5 plus Bonus Total,Match 5 Prize,Match 5 Winners,Match 5 Total,Match 4 plus Bonus Prize,Match 4 plus Bonus Winners,Match 4 plus Bonus Total,Match 4 Prize,Match 4 Winners,Match 4 Total,Match 3 plus Bonus Prize,Match 3 plus Bonus Winners,Match 3 plus Bonus Total,Match 3 Prize,Match 3 Winners,Match 3 Total,Match 2 plus Bonus Prize,Match 2 plus Bonus Winners,Match 2 plus Bonus Total
2026-05-27,1000000,0,0,5000,0,0,500,9,4500,50,17,850,20,467,9340,10,692,6920,3,8121,24363,2,6290,12580
2026-05-23,1000000,0,0,5000,0,0,500,8,4000,50,33,1650,20,780,15600,10,1050,10500,3,12654,37962,2,10208,20416
2026-05-20,1000000,0,0,5000,0,0,500,15,7500,50,19,950,20,770,15400,10,641,6410,3,12198,36594,2,6261,12522
2026-05-16,1000000,0,0,5000,1,5000,500,15,7500,50,42,2100,20,661,13220,10,921,9210,3,11364,34092,2,8257,16514
2026-05-13,1000000,0,0,5000,0,0,500,13,6500,50,21,1050,20,546,10920,10,718,7180,3,10091,30273,2,6382,12764
2026-05-09,1000000,0,0,5000,0,0,500,21,10500,50,42,2100,20,966,19320,10,970,9700,3,15048,45144,2,9193,18386
2026-05-06,1000000,0,0,5000,0,0,500,9,4500,50,24,1200,20,517,10340,10,849,8490,3,9193,27579,2,8497,16994
2026-05-02,1000000,0,0,5000,1,5000,500,16,8000,50,62,3100,20,812,16240,10,1125,11250,3,15274,45822,2,12166,24332
2026-04-29,1000000,0,0,5000,0,0,500,22,11000,50,57,2850,20,971,19420,10,1412,14120,3,14516,43548,2,11933,23866
2026-04-25,1000000,0,0,5000,1,5000,500,21,10500,50,44,2200,20,872,17440,10,1298,12980,3,15043,45129,2,12238,24476
2026-04-22,1000000,0,0,5000,0,0,500,16,8000,50,30,1500,20,557,11140,10,870,8700,3,10310,30930,2,8953,17906
2026-04-18,1000000,1,1000000,5000,0,0,500,23,11500,50,64,3200,20,1011,20220,10,1301,13010,3,17118,51354,2,12951,25902
2026-04-15,1000000,0,0,5000,1,5000,500,8,4000,50,31,1550,20,588,11760,10,695,6950,3,9702,29106,2,7218,14436
2026-04-11,1000000,0,0,5000,1,5000,500,22,11000,50,42,2100,20,864,17280,10,1025,10250,3,14884,44652,2,9858,19716
2026-04-08,1000000,0,0,5000,0,0,500,15,7500,50,58,2900,20,695,13900,10,1301,13010,3,11816,35448,2,11377,22754
2026-04-04,1000000,0,0,5000,0,0,500,24,12000,50,65,3250,20,1053,21060,10,1551,15510,3,17260,51780,2,14470,28940
2026-04-01,1000000,0,0,5000,0,0,500,13,6500,50,41,2050,20,623,12460,10,929,9290,3,10610,31830,2,9006,18012
2026-03-28,1000000,0,0,5000,0,0,500,13,6500,50,53,2650,20,778,15560,10,1134,11340,3,13089,39267,2,10970,21940
2026-03-25,1000000,1,1000000,5000,1,5000,500,11,5500,50,35,1750,20,546,10920,10,746,7460,3,9614,28842,2,7250,14500
2026-03-21,1000000,0,0,5000,1,5000,500,19,9500,50,31,1550,20,698,13960,10,970,9700,3,12241,36723,2,10041,20082
2026-03-18,1000000,0,0,5000,0,0,500,25,12500,50,70,3500,20,795,15900,10,1358,13580,3,11959,35877,2,10594,21188
2026-03-14,1000000,0,0,5000,1,5000,500,14,7000,50,32,1600,20,856,17120,10,1082,10820,3,15408,46224,2,10151,20302
2026-03-11,1000000,0,0,5000,0,0,500,13,6500,50,20,1000,20,666,13320,10,749,7490,3,11516,34548,2,6594,13188
2026-03-07,1000000,0,0,5000,0,0,500,19,9500,50,38,1900,20,767,15340,10,963,9630,3,13554,40662,2,8978,17956
2026-03-04,1000000,0,0,5000,0,0,500,11,5500,50,41,2050,20,674,13480,10,1070,10700,3,11285,33855,2,9347,18694
2026-02-28,1000000,0,0,5000,1,5000,500,5,2500,50,40,2000,20,664,13280,10,1004,10040,3,12250,36750,2,9879,19758
2026-02-25,1000000,0,0,5000,0,0,500,20,10000,50,56,2800,20,909,18180,10,1386,13860,3,14975,44925,2,12867,25734
2026-02-21,1000000,0,0,5000,0,0,500,14,7000,50,52,2600,20,967,19340,10,1505,15050,3,17854,53562,2,15311,30622
2026-02-18,1000000,0,0,5000,0,0,500,66,33000,50,54,2700,20,1869,37380,10,1186,11860,3,20723,62169,2,9776,19552
2026-02-14,1000000,0,0,5000,1,5000,500,18,9000,50,45,2250,20,1016,20320,10,1396,13960,3,18037,54111,2,13960,27920
2026-02-11,1000000,0,0,5000,3,15000,500,90,45000,50,96,4800,20,2169,43380,10,1670,16700,3,21746,65238,2,12174,24348
2026-02-07,1000000,0,0,5000,1,5000,500,13,6500,50,47,2350,20,870,17400,10,1180,11800,3,15429,46287,2,11683,23366
2026-02-04,1000000,0,0,5000,0,0,500,10,5000,50,36,1800,20,647,12940,10,920,9200,3,11332,33996,2,9753,19506
2026-01-31,1000000,0,0,5000,2,10000,500,23,11500,50,56,2800,20,877,17540,10,1166,11660,3,15971,47913,2,10836,21672
2026-01-28,1000000,0,0,5000,0,0,500,16,8000,50,25,1250,20,667,13340,10,796,7960,3,11325,33975,2,7944,15888
2026-01-24,1000000,0,0,5000,0,0,500,11,5500,50,43,2150,20,923,18460,10,1245,12450,3,15619,46857,2,13256,26512
2026-01-21,1000000,0,0,5000,0,0,500,13,6500,50,18,900,20,716,14320,10,764,7640,3,12026,36078,2,7091,14182
2026-01-17,1000000,0,0,5000,1,5000,500,17,8500,50,29,1450,20,875,17500,10,1041,10410,3,15390,46170,2,9931,19862
2026-01-14,1000000,0,0,5000,0,0,500,13,6500,50,25,1250,20,565,11300,10,854,8540,3,10068,30204,2,9049,18098
2026-01-10,1000000,0,0,5000,0,0,500,15,7500,50,45,2250,20,951,19020,10,1098,10980,3,16037,48111,2,10775,21550
2026-01-07,1000000,0,0,5000,0,0,500,12,6000,50,33,1650,20,544,10880,10,833,8330,3,9535,28605,2,8690,17380
2026-01-03,1000000,0,0,5000,0,0,500,14,7000,50,35,1750,20,682,13640,10,984,9840,3,12292,36876,2,9048,18096
2025-12-31,1000000,0,0,5000,0,0,500,31,15500,50,52,2600,20,995,19900,10,1230,12300,3,15666,46998,2,11006,22012
2025-12-27,1000000,0,0,5000,1,5000,500,11,5500,50,36,1800,20,650,13000,10,886,8860,3,11182,33546,2,8647,17294
2025-12-24,1000000,0,0,5000,0,0,500,26,13000,50,43,2150,20,1072,21440,10,1114,11140,3,17299,51897,2,10145,20290
2025-12-20,1000000,0,0,5000,0,0,500,16,8000,50,48,2400,20,908,18160,10,1159,11590,3,16009,48027,2,9757,19514
2025-12-17,1000000,0,0,5000,0,0,500,10,5000,50,37,1850,20,593,11860,10,892,8920,3,10215,30645,2,8269,16538
2025-12-13,1000000,0,0,5000,0,0,500,15,7500,50,51,2550,20,788,15760,10,1179,11790,3,13621,40863,2,11572,23144
2025-12-10,1000000,0,0,5000,0,0,500,14,7000,50,35,1750,20,439,8780,10,691,6910,3,8320,24960,2,6991,13982
2025-12-06,1000000,0,0,5000,2,10000,500,17,8500,50,107,5350,20,972,19440,10,1715,17150,3,15560,46680,2,14630,29260
2025-12-03,1000000,0,0,5000,0,0,500,12,6000,50,27,1350,20,531,10620,10,828,8280,3,9560,28680,2,7661,15322
2025-11-29,1000000,0,0,5000,0,0,500,22,11000,50,28,1400,20,849,16980,10,993,9930,3,15163,45489,2,9207,18414
2025-11-26,1000000,0,0,5000,0,0,500,11,5500,50,62,3100,20,739,14780,10,1047,10470,3,12498,37494,2,8999,17998
2025-11-22,1000000,0,0,5000,0,0,500,9,4500,50,36,1800,20,721,14420,10,923,9230,3,12537,37611,2,10170,20340
2025-11-19,1000000,0,0,5000,0,0,500,9,4500,50,35,1750,20,545,10900,10,798,7980,3,9483,28449,2,7797,15594
2025-11-15,1000000,0,0,5000,0,0,500,27,13500,50,79,3950,20,1318,26360,10,1539,15390,3,18100,54300,2,12521,25042
2025-11-12,1000000,0,0,5000,0,0,500,6,3000,50,25,1250,20,486,9720,10,789,7890,3,9569,28707,2,8011,16022
2025-11-08,1000000,0,0,5000,1,5000,500,23,11500,50,50,2500,20,1008,20160,10,1464,14640,3,16382,49146,2,13129,26258
2025-11-05,1000000,0,0,5000,0,0,500,11,5500,50,24,1200,20,554,11080,10,726,7260,3,9284,27852,2,7469,14938
2025-11-01,1000000,2,2000000,5000,0,0,500,18,9000,50,52,2600,20,1055,21100,10,1368,13680,3,16188,48564,2,11490,22980
2025-10-29,1000000,0,0,5000,0,0,500,12,6000,50,29,1450,20,810,16200,10,723,7230,3,12046,36138,2,6395,12790
2025-10-25,1000000,0,0,5000,0,0,500,18,9000,50,42,2100,20,770,15400,10,1010,10100,3,12932,38796,2,9889,19778
2025-10-22,1000000,0,0,5000,1,5000,500,14,7000,50,39,1950,20,681,13620,10,856,8560,3,11171,33513,2,8278,16556
2025-10-18,1000000,0,0,5000,1,5000,500,24,12000,50,53,2650,20,953,19060,10,1280,12800,3,15893,47679,2,12179,24358
2025-10-15,1000000,0,0,5000,0,0,500,18,9000,50,36,1800,20,685,13700,10,1164,11640,3,11897,35691,2,10323,20646
2025-10-11,1000000,0,0,5000,1,5000,500,21,10500,50,96,4800,20,1123,22460,10,1826,18260,3,17341,52023,2,14471,28942
2025-10-08,1000000,0,0,5000,0,0,500,10,5000,50,32,1600,20,610,12200,10,829,8290,3,9693,29079,2,8469,16938
2025-10-04,1000000,0,0,5000,1,5000,500,21,10500,50,42,2100,20,766,15320,10,995,9950,3,14009,42027,2,9636,19272
2025-10-01,1000000,0,0,5000,0,0,500,11,5500,50,27,1350,20,539,10780,10,729,7290,3,9564,28692,2,6978,13956
2025-09-27,1000000,0,0,5000,0,0,500,15,7500,50,38,1900,20,765,15300,10,1128,11280,3,14177,42531,2,11141,22282
2025-09-24,1000000,1,1000000,5000,1,5000,500,10,5000,50,24,1200,20,592,11840,10,756,7560,3,10171,30513,2,7249,14498
2025-09-20,1000000,0,0,5000,0,0,500,14,7000,50,43,2150,20,672,13440,10,1028,10280,3,11831,35493,2,9803,19606
2025-09-17,1000000,0,0,5000,0,0,500,5,2500,50,27,1350,20,505,10100,10,684,6840,3,9608,28824,2,6874,13748
2025-09-13,1000000,0,0,5000,1,5000,500,19,9500,50,35,1750,20,714,14280,10,976,9760,3,13235,39705,2,9507,19014
2025-09-10,1000000,0,0,5000,0,0,500,12,6000,50,29,1450,20,527,10540,10,613,6130,3,9681,29043,2,6071,12142
2025-09-06,1000000,0,0,5000,0,0,500,20,10000,50,40,2000,20,767,15340,10,1122,11220,3,13402,40206,2,11051,22102
2025-09-03,1000000,0,0,5000,0,0,500,9,4500,50,28,1400,20,527,10540,10,863,8630,3,9568,28704,2,8921,17842
2025-08-30,1000000,0,0,5000,1,5000,500,14,7000,50,41,2050,20,735,14700,10,1079,10790,3,12497,37491,2,10967,21934
2025-08-27,1000000,0,0,5000,0,0,500,17,8500,50,40,2000,20,943,18860,10,1279,12790,3,15571,46713,2,11850,23700
2025-08-23,1000000,0,0,5000,0,0,500,22,11000,50,57,2850,20,974,19480,10,1477,14770,3,17829,53487,2,14843,29686
2025-08-20,1000000,0,0,5000,0,0,500,12,6000,50,29,1450,20,774,15480,10,980,9800,3,13238,39714,2,10254,20508
2025-08-16,1000000,0,0,5000,2,10000,500,29,14500,50,87,4350,20,1387,27740,10,1865,18650,3,21569,64707,2,16077,32154
2025-08-13,1000000,0,0,5000,0,0,500,18,9000,50,49,2450,20,799,15980,10,1064,10640,3,13315,39945,2,10374,20748
2025-08-09,1000000,0,0,5000,0,0,500,21,10500,50,56,2800,20,1300,26000,10,1432,14320,3,19925,59775,2,12897,25794
2025-08-06,1000000,0,0,5000,1,5000,500,16,8000,50,35,1750,20,932,18640,10,959,9590,3,15488,46464,2,8772,17544
2025-08-02,1000000,0,0,5000,0,0,500,17,8500,50,44,2200,20,896,17920,10,1285,12850,3,15595,46785,2,13036,26072
2025-07-30,1000000,0,0,5000,1,5000,500,17,8500,50,38,1900,20,719,14380,10,988,9880,3,13302,39906,2,10384,20768
2025-07-26,1000000,0,0,5000,1,5000,500,15,7500,50,52,2600,20,943,18860,10,1197,11970,3,17097,51291,2,11733,23466
2025-07-23,1000000,0,0,5000,2,10000,500,20,10000,50,25,1250,20,733,14660,10,987,9870,3,12074,36222,2,9329,18658
2025-07-19,1000000,0,0,5000,0,0,500,25,12500,50,54,2700,20,1025,20500,10,1373,13730,3,16593,49779,2,13525,27050
2025-07-16,1000000,0,0,5000,0,0,500,22,11000,50,46,2300,20,947,18940,10,1103,11030,3,15657,46971,2,9833,19666
2025-07-12,1000000,0,0,5000,0,0,500,28,14000,50,40,2000,20,1322,26440,10,1317,13170,3,19877,59631,2,12021,24042
2025-07-09,1000000,0,0,5000,2,10000,500,15,7500,50,34,1700,20,679,13580,10,973,9730,3,12297,36891,2,10196,20392
2025-07-05,1000000,0,0,5000,1,5000,500,25,12500,50,60,3000,20,1426,28520,10,1451,14510,3,22562,67686,2,13934,27868
2025-07-02,1000000,0,0,5000,0,0,500,22,11000,50,51,2550,20,993,19860,10,1426,14260,3,15218,45654,2,12902,25804
2025-06-28,1000000,0,0,5000,1,5000,500,17,8500,50,49,2450,20,918,18360,10,1181,11810,3,15449,46347,2,11710,23420
2025-06-25,1000000,0,0,5000,2,10000,500,16,8000,50,32,1600,20,736,14720,10,947,9470,3,12735,38205,2,8946,17892
2025-06-21,1000000,0,0,5000,0,0,500,25,12500,50,44,2200,20,930,18600,10,1385,13850,3,16968,50904,2,12782,25564
2025-06-18,1000000,0,0,5000,0,0,500,14,7000,50,45,2250,20,730,14600,10,1107,11070,3,12813,38439,2,11058,22116
2025-06-14,1000000,0,0,5000,0,0,500,24,12000,50,45,2250,20,1222,24440,10,1148,11480,3,19435,58305,2,10923,21846
2025-06-11,1000000,0,0,5000,0,0,500,15,7500,50,38,1900,20,698,13960,10,828,8280,3,12149,36447,2,8005,16010
2025-06-07,1000000,0,0,5000,0,0,500,18,9000,50,53,2650,20,989,19780,10,1244,12440,3,17229,51687,2,11910,23820
2025-06-04,1000000,0,0,5000,1,5000,500,12,6000,50,38,1900,20,869,17380,10,928,9280,3,14170,42510,2,8523,17046
2025-05-31,1000000,0,0,5000,1,5000,500,14,7000,50,41,2050,20,915,18300,10,1131,11310,3,15197,45591,2,10183,20366
2025-05-28,1000000,0,0,5000,0,0,500,9,4500,50,39,1950,20,624,12480,10,1065,10650,3,11216,33648,2,9947,19894
2025-05-24,1000000,0,0,5000,1,5000,500,17,8500,50,40,2000,20,761,15220,10,1200,12000,3,13610,40830,2,11509,23018
2025-05-21,1000000,0,0,5000,0,0,500,15,7500,50,24,1200,20,511,10220,10,721,7210,3,8545,25635,2,8251,16502
2025-05-17,1000000,0,0,5000,2,10000,500,21,10500,50,42,2100,20,759,15180,10,919,9190,3,13939,41817,2,9154,18308
2025-05-14,1000000,0,0,5000,2,10000,500,11,5500,50,25,1250,20,502,10040,10,842,8420,3,9721,29163,2,8215,16430
2025-05-10,1000000,0,0,5000,1,5000,500,16,8000,50,42,2100,20,878,17560,10,1119,11190,3,14722,44166,2,10401,20802
2025-05-07,1000000,0,0,5000,0,0,500,10,5000,50,28,1400,20,515,10300,10,685,6850,3,8995,26985,2,6688,13376
2025-05-03,1000000,0,0,5000,0,0,500,13,6500,50,38,1900,20,645,12900,10,975,9750,3,11463,34389,2,9639,19278
2025-04-30,1000000,0,0,5000,0,0,500,15,7500,50,27,1350,20,787,15740,10,637,6370,3,11915,35745,2,5934,11868
2025-04-26,1000000,0,0,5000,0,0,500,14,7000,50,32,1600,20,649,12980,10,898,8980,3,11622,34866,2,8574,17148
2025-04-23,1000000,0,0,5000,0,0,500,6,3000,50,26,1300,20,414,8280,10,652,6520,3,8063,24189,2,6390,12780
2025-04-19,1000000,0,0,5000,1,5000,500,22,11000,50,56,2800,20,767,15340,10,1238,12380,3,14239,42717,2,12409,24818
2025-04-16,1000000,0,0,5000,0,0,500,7,3500,50,37,1850,20,622,12440,10,820,8200,3,10890,32670,2,7678,15356
2025-04-12,1000000,0,0,5000,1,5000,500,16,8000,50,35,1750,20,779,15580,10,1102,11020,3,13829,41487,2,10710,21420
2025-04-09,1000000,0,0,5000,0,0,500,5,2500,50,24,1200,20,484,9680,10,768,7680,3,8783,26349,2,7107,14214
2025-04-05,1000000,0,0,5000,1,5000,500,11,5500,50,47,2350,20,819,16380,10,1239,12390,3,13804,41412,2,10626,21252
2025-04-02,1000000,0,0,5000,0,0,500,8,4000,50,12,600,20,457,9140,10,622,6220,3,7800,23400,2,6589,13178
2025-03-29,1000000,0,0,5000,0,0,500,20,10000,50,33,1650,20,912,18240,10,927,9270,3,15441,46323,2,8696,17392
2025-03-26,1000000,0,0,5000,0,0,500,13,6500,50,29,1450,20,483,9660,10,693,6930,3,9194,27582,2,7413,14826
2025-03-22,1000000,0,0,5000,0,0,500,19,9500,50,49,2450,20,755,15100,10,1119,11190,3,13979,41937,2,10961,21922
2025-03-19,1000000,0,0,5000,0,0,500,8,4000,50,29,1450,20,439,8780,10,708,7080,3,8042,24126,2,6750,13500
2025-03-15,1000000,0,0,5000,1,5000,500,22,11000,50,55,2750,20,895,17900,10,1282,12820,3,14198,42594,2,12278,24556
2025-03-12,1000000,0,0,5000,0,0,500,11,5500,50,30,1500,20,521,10420,10,726,7260,3,9235,27705,2,7301,14602
2025-03-08,1000000,0,0,5000,1,5000,500,14,7000,50,41,2050,20,720,14400,10,1114,11140,3,12987,38961,2,10794,21588
2025-03-05,1000000,0,0,5000,0,0,500,11,5500,50,33,1650,20,608,12160,10,852,8520,3,10413,31239,2,8088,16176
2025-03-01,1000000,0,0,5000,1,5000,500,23,11500,50,36,1800,20,732,14640,10,921,9210,3,12809,38427,2,8586,17172
2025-02-26,1000000,0,0,5000,0,0,500,16,8000,50,41,2050,20,448,8960,10,736,7360,3,8872,26616,2,7516,15032
2025-02-22,1000000,0,0,5000,0,0,500,20,10000,50,32,1600,20,874,17480,10,897,8970,3,14858,44574,2,8580,17160
2025-02-19,1000000,0,0,5000,0,0,500,15,7500,50,21,1050,20,555,11100,10,672,6720,3,9568,28704,2,6113,12226
2025-02-15,1000000,0,0,5000,0,0,500,28,14000,50,34,1700,20,1055,21100,10,933,9330,3,16286,48858,2,8272,16544
2025-02-12,1000000,1,1000000,5000,2,10000,500,17,8500,50,45,2250,20,771,15420,10,830,8300,3,11837,35511,2,6934,13868
2025-02-08,1000000,0,0,5000,1,5000,500,14,7000,50,40,2000,20,656,13120,10,841,8410,3,11693,35079,2,8611,17222
2025-02-05,1000000,0,0,5000,0,0,500,14,7000,50,34,1700,20,496,9920,10,716,7160,3,9196,27588,2,7347,14694
2025-02-01,1000000,0,0,5000,0,0,500,11,5500,50,36,1800,20,695,13900,10,829,8290,3,12395,37185,2,8145,16290
2025-01-29,1000000,0,0,5000,0,0,500,8,4000,50,32,1600,20,598,11960,10,912,9120,3,10110,30330,2,9015,18030
2025-01-25,1000000,0,0,5000,1,5000,500,12,6000,50,36,1800,20,714,14280,10,1019,10190,3,12802,38406,2,8719,17438
2025-01-22,1000000,0,0,5000,0,0,500,18,9000,50,27,1350,20,1118,22360,10,643,6430,3,15347,46041,2,6299,12598
2025-01-18,1000000,0,0,5000,1,5000,500,7,3500,50,43,2150,20,731,14620,10,999,9990,3,13256,39768,2,10397,20794
2025-01-15,1000000,0,0,5000,0,0,500,13,6500,50,43,2150,20,755,15100,10,1081,10810,3,12318,36954,2,9397,18794
2025-01-11,1000000,0,0,5000,0,0,500,12,6000,50,42,2100,20,788,15760,10,1233,12330,3,13638,40914,2,11458,22916
2025-01-08,1000000,0,0,5000,0,0,500,15,7500,50,32,1600,20,420,8400,10,616,6160,3,7365,22095,2,5998,11996
2025-01-04,1000000,0,0,5000,0,0,500,17,8500,50,36,1800,20,640,12800,10,848,8480,3,10735,32205,2,8292,16584
2025-01-01,1000000,0,0,5000,1,5000,500,16,8000,50,22,1100,20,709,14180,10,582,5820,3,10993,32979,2,5783,11566
2024-12-28,1000000,0,0,5000,0,0,500,7,3500,50,22,1100,20,667,13340,10,815,8150,3,11435,34305,2,7687,15374
2024-12-25,1000000,0,0,5000,0,0,500,19,9500,50,45,2250,20,664,13280,10,1025,10250,3,12166,36498,2,9298,18596
2024-12-21,1000000,0,0,5000,1,5000,500,16,8000,50,41,2050,20,779,15580,10,1077,10770,3,14481,43443,2,10781,21562
2024-12-18,1000000,0,0,5000,1,5000,500,8,4000,50,37,1850,20,633,12660,10,1036,10360,3,10639,31917,2,9925,19850
2024-12-14,1000000,0,0,5000,0,0,500,7,3500,50,27,1350,20,675,13500,10,905,9050,3,11455,34365,2,9308,18616
2024-12-11,1000000,0,0,5000,0,0,500,15,7500,50,37,1850,20,673,13460,10,975,9750,3,11354,34062,2,8662,17324
2024-12-07,1000000,0,0,5000,0,0,500,8,4000,50,45,2250,20,624,12480,10,953,9530,3,11603,34809,2,9476,18952
2024-12-04,1000000,0,0,5000,0,0,500,10,5000,50,14,700,20,461,9220,10,618,6180,3,7803,23409,2,6102,12204
2024-11-30,1000000,0,0,5000,3,15000,500,13,6500,50,27,1350,20,664,13280,10,954,9540,3,12117,36351,2,9626,19252
2024-11-27,1000000,0,0,5000,0,0,500,13,6500,50,42,2100,20,626,12520,10,1058,10580,3,10538,31614,2,9181,18362
2024-11-23,1000000,0,0,5000,0,0,500,11,5500,50,23,1150,20,592,11840,10,801,8010,3,10994,32982,2,8111,16222
2024-11-20,1000000,0,0,5000,0,0,500,25,12500,50,61,3050,20,1108,22160,10,1464,14640,3,14998,44994,2,12276,24552
2024-11-16,1000000,0,0,5000,0,0,500,15,7500,50,61,3050,20,844,16880,10,1491,14910,3,15191,45573,2,15176,30352
2024-11-13,1000000,0,0,5000,0,0,500,14,7000,50,30,1500,20,566,11320,10,710,7100,3,9956,29868,2,6699,13398
2024-11-09,1000000,0,0,5000,1,5000,500,22,11000,50,66,3300,20,1066,21320,10,1528,15280,3,17103,51309,2,13149,26298
2024-11-06,1000000,0,0,5000,0,0,500,9,4500,50,28,1400,20,527,10540,10,742,7420,3,9977,29931,2,7265,14530
2024-11-02,1000000,0,0,5000,0,0,500,13,6500,50,38,1900,20,720,14400,10,954,9540,3,12967,38901,2,10251,20502
2024-10-30,1000000,0,0,5000,0,0,500,14,7000,50,30,1500,20,635,12700,10,722,7220,3,10748,32244,2,6540,13080
2024-10-26,1000000,0,0,5000,4,20000,500,25,12500,50,79,3950,20,1036,20720,10,1400,14000,3,16749,50247,2,12595,25190
2024-10-23,1000000,0,0,5000,0,0,500,16,8000,50,29,1450,20,525,10500,10,697,6970,3,9896,29688,2,6869,13738
2024-10-19,1000000,0,0,5000,1,5000,500,13,6500,50,60,3000,20,932,18640,10,1515,15150,3,15302,45906,2,13722,27444
2024-10-16,1000000,0,0,5000,2,10000,500,35,17500,50,53,2650,20,831,16620,10,1366,13660,3,11729,35187,2,10519,21038
2024-10-12,1000000,0,0,5000,0,0,500,19,9500,50,35,1750,20,709,14180,10,1097,10970,3,12428,37284,2,10763,21526
2024-10-09,1000000,0,0,5000,1,5000,500,9,4500,50,29,1450,20,471,9420,10,624,6240,3,8214,24642,2,6155,12310
2024-10-05,1000000,0,0,5000,0,0,500,17,8500,50,33,1650,20,670,13400,10,848,8480,3,11116,33348,2,8567,17134
2024-10-02,1000000,0,0,5000,1,5000,500,12,6000,50,36,1800,20,584,11680,10,892,8920,3,9712,29136,2,7618,15236
2024-09-28,1000000,0,0,5000,0,0,500,15,7500,50,39,1950,20,715,14300,10,1063,10630,3,12993,38979,2,10392,20784
2024-09-25,1000000,0,0,5000,0,0,500,18,9000,50,16,800,20,532,10640,10,956,9560,3,9778,29334,2,8181,16362
