DrawDate,Match 6 Prize,Match 6 Winners,Match 6 Total,Match 5 plus Bonus Prize,Match 5 plus Bonus Winners,Match 5 plus Bonus Total,Match 5 Prize,Match 5 Winners,Match 5 Total,Match 4 plus Bonus Prize,Match 4 plus Bonus Winners,Match 4 plus Bonus Total,Match 4 Prize,Match 4 Winners,Match 4 Total,Match 3 plus Bonus Prize,Match 3 plus Bonus Winners,Match 3 plus Bonus Total,Match 3 Prize,Match 3 Winners,Match 3 Total,Match 2 plus Bonus Prize,Match 2 plus Bonus Winners,Match 2 plus Bonus Total
2026-08-22,1000000,0,0,5000,0,0,500,17,8500,50,39,1950,20,913,18260,10,1290,12900,3,14811,44433,2,11771,23542
2026-08-19,1000000,0,0,5000,0,0,500,9,4500,50,24,1200,20,720,14400,10,819,8190,3,10457,31371,2,7966,15932
2026-08-15,1000000,0,0,5000,0,0,500,9,4500,50,31,1550,20,658,13160,10,945,9450,3,11933,35799,2,9631,19262
2026-08-12,1000000,0,0,5000,0,0,500,7,3500,50,24,1200,20,487,9740,10,661,6610,3,8445,25335,2,7004,14008
2026-08-08,1000000,0,0,5000,1,5000,500,38,19000,50,39,1950,20,1153,23060,10,1000,10000,3,17311,51933,2,9490,18980
2026-08-05,1000000,0,0,5000,1,5000,500,15,7500,50,36,1800,20,920,18400,10,1013,10130,3,12837,38511,2,8110,16220
2026-08-01,1000000,0,0,5000,0,0,500,15,7500,50,30,1500,20,691,13820,10,1035,10350,3,12414,37242,2,10505,21010
2026-07-29,1000000,0,0,5000,0,0,500,16,8000,50,46,2300,20,597,11940,10,1013,10130,3,10270,30810,2,9222,18444
2026-07-25,1000000,0,0,5000,0,0,500,26,13000,50,31,1550,20,1061,21220,10,1127,11270,3,17769,53307,2,10269,20538
2026-07-22,1000000,0,0,5000,0,0,500,13,6500,50,45,2250,20,735,14700,10,985,9850,3,12821,38463,2,9625,19250
2026-07-18,1000000,1,1000000,5000,2,10000,500,19,9500,50,44,2200,20,828,16560,10,1039,10390,3,14354,43062,2,10003,20006
2026-07-15,1000000,0,0,5000,0,0,500,11,5500,50,30,1500,20,583,11660,10,798,7980,3,10497,31491,2,7514,15028
2026-07-11,1000000,0,0,5000,0,0,500,16,8000,50,37,1850,20,886,17720,10,1254,12540,3,15547,46641,2,12364,24728
2026-07-08,1000000,0,0,5000,0,0,500,13,6500,50,43,2150,20,637,12740,10,944,9440,3,11130,33390,2,8920,17840
2026-07-04,1000000,0,0,5000,1,5000,500,31,15500,50,40,2000,20,1391,27820,10,1072,10720,3,19228,57684,2,9722,19444
2026-07-01,1000000,0,0,5000,0,0,500,10,5000,50,20,1000,20,499,9980,10,767,7670,3,9010,27030,2,7651,15302
2026-06-27,1000000,0,0,5000,0,0,500,18,9000,50,43,2150,20,832,16640,10,1042,10420,3,15205,45615,2,9712,19424
2026-06-24,1000000,0,0,5000,0,0,500,13,6500,50,17,850,20,663,13260,10,669,6690,3,11221,33663,2,6436,12872
2026-06-20,1000000,0,0,5000,0,0,500,33,16500,50,108,5400,20,1474,29480,10,2019,20190,3,20193,60579,2,14591,29182
2026-06-17,1000000,0,0,5000,0,0,500,10,5000,50,34,1700,20,509,10180,10,618,6180,3,8245,24735,2,6793,13586
2026-06-13,1000000,0,0,5000,0,0,500,14,7000,50,29,1450,20,905,18100,10,937,9370,3,15871,47613,2,8884,17768
2026-06-10,1000000,0,0,5000,0,0,500,5,2500,50,28,1400,20,498,9960,10,695,6950,3,8595,25785,2,7733,15466
2026-06-06,1000000,0,0,5000,0,0,500,17,8500,50,37,1850,20,806,16120,10,1153,11530,3,14572,43716,2,11016,22032
2026-06-03,1000000,0,0,5000,0,0,500,14,7000,50,36,1800,20,547,10940,10,898,8980,3,10247,30741,2,8622,17244
2026-05-30,1000000,0,0,5000,0,0,500,24,12000,50,61,3050,20,866,17320,10,1197,11970,3,14591,43773,2,11004,22008
