No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
1914,86501911,270675.20,21087,656.80,70.20,21.30,33.20,6.30,8.80,5.10,4.40,3.30,2.40
1913,75830353,206403.30,32159.90,751.20,90,28,41.60,7.90,10.50,5.90,5.40,3.90,2.40
1912,67080148,177547.30,7780.40,745.60,69.40,23.50,35.20,6.70,8.80,5.60,4.50,3.40,2.50
1911,56012423,127230.10,14867.80,1262.90,89.30,28.10,41.80,8.20,9.70,6.60,4.70,3.90,2.70
1910,46714773,78591.50,12245.40,762.80,68.10,22.40,34.30,6.50,8.80,5.50,4.40,3.30,2.50
1909,35029519,0,140047.40,1126.80,84.50,20,47.90,8.30,12.40,4.90,6.20,4.20,2.20
1908,26917650,124067,12887.30,976.40,107.50,31.60,52.30,9.40,12.30,6.60,5.70,4.40,2.70
1907,14846100,0,13961.40,1185.90,97.40,25.40,52.80,8.50,12.10,5.80,5.70,4.10,2.40
1906,47164703,49455.80,13003.40,1408.70,74.50,44.80,26.80,11.20,7.50,6.80,5,3.70,3
1905,36219854,67507,11833.10,1340.20,88.40,27.60,54.80,8.20,13.10,5.50,6.10,4.10,2.30
1904,26272412,0,17260.70,1897.50,91.80,27.70,52.40,8.70,11.90,6.30,5.40,4.10,2.50
1903,14902200,0,10816.60,1473.90,103.90,34.80,46.90,9.60,11.20,7.50,4.90,4.30,2.90
1902,14941300,112091,20958,1255.30,98.40,43.90,30.50,10.40,8.20,6.70,4.80,3.80,2.70
1901,124643821,74535.80,0,825.60,72,37.30,24.20,9,6.90,5.70,4.50,3.60,2.50
1900,113633000,0,12075.30,1097,88.40,26.10,50.90,8.30,11.70,6.20,5.50,4,2.50
1899,14971900,172189.10,8942.90,1089.90,98.80,30,48.60,8.70,11.60,6.10,5.40,4.10,2.50
1898,156646223,133980.10,26094.40,812.70,85.20,30,31.70,7.40,7.20,6.70,3.40,3.50,2.70
1897,142321587,0,48911,513.90,70.10,25.90,23.50,6.40,5.70,5.90,2.70,3.20,2.60
1896,131464184,0,15739.20,658.50,78.60,25.70,30,6.80,7.10,6.20,3.40,3.30,2.60
1895,118491408,0,13735.30,977.80,84.70,24.10,44.70,7.80,10.50,5.70,5,3.80,2.40
1894,108302730,0,33247.80,1010.30,89.50,33.20,41.30,7.10,10.10,6.60,4.80,3.40,2.70
1893,95492878,0,24455.50,982.80,94.60,30.80,43.90,8.70,10.40,6.90,4.80,4.10,2.80
1892,86185474,131865.50,17610.90,1279.90,101.70,36,37.70,8.50,8.30,7.10,3.60,3.90,2.80
1891,75171029,129585.30,11357.30,975.80,73.30,22,39.20,6.90,9.90,5.30,4.90,3.50,2.40
1890,66400273,0,0,929.90,99.70,33.70,45.10,8.40,9.80,7.20,4.40,3.90,2.80
1889,54999780,0,8987.40,1145.20,87,26,46.60,7.80,11.40,5.80,5.40,3.70,2.30
1888,45681300,237057.20,9234,1078.50,74.40,26.40,47,7.10,10.90,6.10,5.40,3.50,2.50
1887,33950861,0,104575.60,1542.60,102.60,30.70,49.10,9,11.50,6.50,5.40,4.20,2.60
1886,25559255,453507.30,17665.30,892.20,95.70,36.30,40.50,8.20,8.70,7.70,3.80,4,3.20
1885,14817200,158713,9273.40,888.70,60.10,18.50,34.10,6.30,8.90,4.80,4.50,3.30,2.30
1884,25701358,40638.50,8036.60,879.50,66.80,17.40,38.20,6.40,10.40,4.30,5.50,3.50,2
1883,14773000,0,24769.10,1052,114.30,37.20,37.10,9.30,8.20,8.10,3.50,4.20,3.20
1882,26038157.40,0,12892.10,479.40,60,22.50,25.70,5.90,6.90,5.50,3.70,3.20,2.50
1881,14852900,41920.60,0,519.40,69.70,26.80,24.90,6.30,6.30,5.70,3.20,3.20,2.50
1880,113568000,63856.70,10534.80,593.40,60.10,19,36,6.30,9.10,5.10,4.60,3.40,2.40
1879,56128723,0,21190.80,412.50,55,19.40,24,4.90,6.50,4.60,3.50,2.80,2.20
1878,46564196,0,0,926.70,90.70,28.20,46.90,8.30,11.90,6,5.60,3.90,2.40
1877,34718425,179435.60,27958,1004.70,88.70,29,42,7.30,9.80,6.60,4.60,3.40,2.70
1876,25768241,230268.10,21526.90,684.10,81.10,24,39,7,9.80,5.80,4.80,3.60,2.50
1875,14732200,0,83571.40,1174.10,75.90,25.50,31.10,7.50,7.60,6.10,3.60,3.70,2.60
1874,56681384,524043.10,24495.50,1271.60,113.10,37.60,38.40,9,8.40,8,3.60,4.10,3.10
1873,44408792,0,22190.60,1382.30,118.70,35.50,54.80,10.20,11.80,7.20,5.40,4.60,2.70
1872,34757748,92359.60,53964.90,517.10,68,24.30,30.40,6.10,7.10,5.40,3.80,3.10,2.40
1871,23177179,176142.60,0,1349.70,100.90,32.50,60,9.60,14,7.10,6.40,4.70,2.90
1870,14745800,0,9321.40,887.10,71.40,20.80,38.80,7,10,4.90,5,3.70,2.30
1869,21615000,182967.60,26077.30,728.90,91,34,44.40,9.10,10.20,7.60,4.50,4.10,3
1868,200645465,416384.50,14971.60,962.20,109.10,35.40,47.50,9.50,10.30,7.90,4.40,4.30,3.10
1867,184536067,680767.80,0,854.40,108.80,35.40,40.90,8.90,9.10,7.60,3.90,4.10,3.10
1866,171118004,124791.30,8333,757,68.50,17.40,40.20,7.60,10.20,5.60,5,3.80,2.50
1865,156693569,192769.60,27032,1503.50,105.30,34.20,44.30,8.20,10.30,6.60,4.60,3.90,2.80
1864,145228808,223227,11179.60,716.90,68.30,20.80,38.50,7.10,9.70,5.40,4.80,3.70,2.50
1863,130116570,130194.30,0,1516.40,119.90,37.50,44.70,9.50,9.10,8.10,3.70,4.10,2.90
1862,120532068,123475.80,16032.40,1664.50,96.90,27.20,54.30,8.70,12.90,5.80,6,4.20,2.40
1861,107138894,98755.50,8877.20,1797.20,69.30,23.50,51.60,7.60,12.70,6.10,6,3.80,2.60
1860,96797541,77502.50,18113.60,867.90,69.90,25.30,33.40,6.90,8.10,5.90,4,3.40,2.60
1859,84014945,0,9687.60,1257.20,110.50,33.20,50.80,9.40,11.80,7.20,5.10,4.50,3
1858,75185800,0,14783.20,1151.10,93.70,28.70,47.10,8.30,10.30,6.40,4.80,3.90,2.60
1857,64367280,44331,15541.30,660.10,54.90,22.80,29.70,5.90,8.40,5.60,4.40,3.30,2.50
1856,56006015,509266.60,11902.40,950.50,103.30,36.40,35.80,8.60,7.80,7.80,3.40,3.90,3.10
1855,43818269,130759.50,11460.20,839.90,87.30,34.80,45.10,7.30,10.60,7.30,5,3.50,3
1854,34475868,97950.80,19077.20,1048.60,83.10,29.60,45.50,8.30,11.30,6.90,5.10,4.10,3
1853,22994509,0,0,832.40,66.20,22,29.40,5.90,7.80,5.30,4.30,3.10,2.30
1852,14569000,118828.80,27772.20,843.90,78.30,29.60,33.10,7.50,7.80,6.70,3.70,3.60,2.80
1851,213650000,6287001.20,16119.10,1043.20,91.90,33.20,38.70,8,9.20,7.40,4.40,3.80,3.10
1850,212575000,3613887,20347.90,1252.80,123,41.50,46.50,10.70,10,9.30,4.10,4.90,3.70
1849,211875000,4537217.20,20680.70,1380.30,116.60,38.80,56.30,10.10,12.60,8.60,5.60,4.60,3.50
1848,210775000,2026284.40,17062.70,966.20,99.80,34,50.50,8.80,12.20,7.20,5.80,4.30,2.90
1847,201083864,152190,23712.80,863.20,103.70,35.50,38.60,8.70,8.60,7.80,3.80,4,3.10
1846,184193289,0,11422.70,1085.40,89.80,26.20,39.70,7.30,9.80,5.70,4.80,3.70,2.60
1845,166329474,353812.50,16538.30,1226.40,106.50,35.40,55.20,9.70,12.90,7.70,6,4.60,3
1844,153225546,0,17998.90,1303.70,117,35.60,56.70,9.70,12.80,8.10,5.70,4.50,3.20
1843,139135511,610125.70,20370.90,906.40,79.10,28.20,41.90,7.50,10.50,6.50,5.10,3.70,2.80
