No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
1716,33832786,117360.20,12190.60,589.20,62.80,24.70,29.30,5.90,7.70,5.70,4.20,3.20,2.50
1715,22668447,0,7834.70,659.50,42.60,14.20,27.90,4.90,8.40,4.40,4.50,2.90,2.30
1714,14529900,0,113042.90,1389.60,123.10,37,55.90,10.30,13,7.10,6,4.80,2.70
1713,62959762,0,0,672,99.90,35.40,27.80,8.20,6.50,7.50,2.80,3.80,3.10
1712,54947313,0,8905.40,667.70,59.40,19.70,37.10,5.90,10.20,4.90,5.20,3.30,2.30
1711,42755567,190536.80,0,815.90,92.90,30.10,33.80,7.80,7.60,6.60,3.60,3.60,2.60
1710,34071155,0,0,1804.20,105.20,35.80,55.20,9.40,12.80,7.20,5.80,4.40,2.80
1709,22793244,177604.90,13836.40,861.90,68.10,22.10,37.90,6.60,9.80,5.30,4.90,3.60,2.50
1708,14535000,119808.90,16000.70,375.10,55.60,18.40,23.80,5.80,6.50,5.10,3.50,3.20,2.50
1707,61708231,57185.10,6682.50,551.70,43.60,17.50,29.10,5,8.60,5,4.70,3,2.40
1706,111176000,102206.20,26873.10,1312.90,95.70,30.20,51.60,8.80,12.40,6.70,5.70,4.20,2.80
1705,14548600,0,0,1328.90,97.70,28.60,50.80,8.50,12.10,7,5.90,4.10,2.80
1704,14596200,149242.50,0,1207.10,116.50,36.30,52.30,9.30,12.30,7.70,5.70,4.20,2.90
1703,75779937,138132.20,4402.30,1005.50,64.70,20,48.80,7.50,12.30,5.60,5.90,3.90,2.50
1702,67303737,195251.20,13690,1040,116.50,34.60,57.90,9.80,12.70,7.60,5.80,4.30,2.90
1701,55675221,0,12654.90,1452.20,88.80,28.50,42.70,7.70,9.70,6.40,4.70,3.60,2.60
1700,46379442,0,16078.90,594.10,86.20,28,34.10,7.40,7.20,6.30,3.60,3.50,2.60
1699,34818330,0,0,4010.20,109.70,28.80,57,9.40,12.80,6.20,6.10,4.50,2.40
1698,26478414,164770.80,23105.70,946.90,106.50,37.80,41.60,9,9,7.60,4.10,3.90,2.90
1697,14761100,0,0,22598.60,99.60,34.40,60.70,8.90,13.80,7.10,6.40,4.10,2.80
1696,48293103,77146,25242.40,727.90,103.70,30.90,49.50,8.90,12.90,7,5.90,4.40,2.80
1695,34944314,0,0,1992.10,120.40,33.10,55.10,9.90,13.10,7.60,6,4.50,2.90
1694,26077370,0,21953,976.80,91.40,35.20,38,8.70,8.60,7.50,3.70,3.90,3
1693,14613200,378148.80,44189.80,1310.80,114.20,34.20,65.90,10.30,14.80,7.70,6.70,4.90,3.10
1692,206064000,1191020.20,18674.20,1045.60,114.50,36.40,48.30,9.70,10.60,8.10,4.60,4.50,3.20
1691,187781097,100913.60,11792.50,667.80,71.30,24,31.70,6.90,7.90,5.90,3.80,3.50,2.60
1690,171360000,183484.40,14294.40,1381.70,91.70,27.80,50.80,8.50,12,6.50,5.70,4.10,2.70
1689,71962515,98820.30,15397.30,639.40,62.60,23.50,37.30,6,9.70,6,4.70,3.10,2.60
1688,64035895,0,14104.80,901.10,91.90,29.40,43.20,8.40,9.70,6.90,4.30,3.90,2.80
1687,53979641,0,0,1017.10,107.40,35.80,49.40,8.90,11.80,7.80,4.80,3.90,3
1686,45465075,114932.80,0,1014.10,95.40,35.80,35,8.40,7.80,7.70,3.40,3.80,3.10
1685,33793154,0,0,766,88.70,32.30,37.20,7.90,7.80,7.20,3.40,3.50,2.80
1684,25756383,0,9885.50,1184.20,79.20,23.40,47.50,7.70,12.20,5.80,5.80,3.80,2.50
1683,14805300,0,0,760,75.70,22.50,42.80,7.20,10.20,5.40,4.90,3.60,2.30
1682,27069201,84616.60,29664.40,697.30,82.70,31,32.50,7.90,8,7,3.70,3.80,2.90
1681,14812100,0,0,1081.90,72.50,22.10,37.30,6.60,9.80,5.30,4.70,3.60,2.40
1680,14832500,220132.50,0,1281.90,112.60,39.20,44.80,9.80,9.40,8.40,3.90,4.20,3.20
1679,22890578,343025.90,11452.90,609,75.60,27.60,34.10,7.60,8.70,6.40,4.10,3.80,2.80
1678,14822300,0,79151.80,990.70,98.20,32.40,46.20,8.50,10.50,7.10,4.80,4,2.90
1677,58485999,94191.80,7338,1054.90,69.70,24.60,36.60,6.30,10,5.70,4.90,3.40,2.70
1676,49110551,619718.80,12069.80,1409.80,111.10,38,48.40,9.20,10.80,7.90,4.80,4.10,3
1675,34588543,364133.50,14184,716.40,85,29.40,33,7.70,7.80,6.70,3.70,3.70,2.90
1674,26109833,486876.70,22758.20,908.70,104.70,36,42.90,8.80,9.70,7.50,4.40,4.10,3
1673,14752600,84535,9878.60,1025.60,89,31.50,38.10,7.20,9.70,6.60,4.60,3.50,2.70
1672,112723000,53969.70,8072.70,427.60,50.40,19.40,21.50,5.20,6.10,5,3.30,2.90,2.40
1671,34891934,57995.80,5809.10,337.70,46.20,17.40,18.60,5,5.40,4.90,2.90,2.80,2.40
1670,26145484,0,0,921.50,92.40,32.70,31,7.70,6.50,6.80,3.10,3.40,2.60
1669,14657400,0,0,1049.90,98.20,35.70,38.80,8.30,8.60,7.70,3.80,3.70,2.90
1668,23631994.90,185147.10,16226.90,1555.10,102.30,33.50,49.20,8.70,11.50,6.80,5.40,4,2.70
1667,34196431,0,0,1209.20,106.30,34.70,48.20,9.20,11.10,7.40,5,4.20,2.90
1666,25673828,0,21227.40,918.30,78.10,29.20,38.10,6.40,9.60,6,4.80,3.20,2.60
1665,14526500,115924.20,9031.10,1205.50,126,32.70,60.90,10.50,14.10,6.70,6.60,4.90,2.60
1664,93555381,0,21348.80,1369,117.60,39.10,52.50,9,10.70,8.20,4.70,3.90,3.10
1663,81076005,0,16774.10,847.20,93.40,30.60,45.20,8.40,10.80,6.70,5.10,4,2.80
1662,72007686,182576.60,21335.50,1077.60,97.10,33.30,47.60,8.50,10.60,7.10,4.90,4.10,2.90
1661,60733663,57629.40,0,839,66.90,24.70,38.80,7.10,9.90,6.40,4.60,3.50,2.80
1660,52979607,100771.40,29439.90,1078.80,104.90,34.40,57.60,9.40,13.60,7.10,6.40,4.30,2.80
1659,41619162,83431.90,0,1429,99.80,29.20,42.60,8.20,10.60,5.90,5.10,3.90,2.50
1658,33701388,0,14425.50,533,65.30,23,24.30,5.80,6.40,5.40,3.20,3,2.40
1657,22733867,170538.50,0,1079.50,103.90,34.40,42.30,8.90,8.80,7.70,3.80,3.80,2.90
1656,14688000,111557.90,11587.90,1160.10,94,32.40,48.50,9,11.20,7.50,4.90,4.20,3
1655,62072865,0,31114.20,570,89.70,32.70,44.20,8.60,10.50,7.10,4.50,4.10,3
1654,53782090,0,76613.60,1446.60,110.20,34,44.30,9.10,9.30,7.70,4.10,4,2.90
1653,41977767,71353.60,5558.80,1082.10,70.10,15.10,39.10,6.60,11,3.90,5.60,3.70,2.10
1652,33716628,0,25689.50,1391.50,99.40,33.70,45.20,9,10.30,7.70,4.60,3.80,2.90
1651,22669005,168994.40,13165.50,946.30,111.60,33.50,45.20,9.60,10.70,7.40,4.80,4.30,2.90
1650,14587700,216941.90,16900.90,1128,89.30,32,43.50,7.80,10,7.40,4.70,3.60,2.90
1649,31131648.90,0,0,686,95.60,31.10,34.50,8.20,8.10,6.70,3.80,3.90,2.80
1648,54578549,0,19419,725.80,72.10,23.40,28.60,6.40,7.30,5.30,3.70,3.30,2.40
1647,42683435,189869.30,8875.10,476.60,70.80,23.40,19.60,6.60,6.20,5.90,3.50,3.50,2.70
1646,33841817,155321,0,1094.20,96.70,31.40,46.20,8.30,10.70,6.70,5,3.90,2.70
1645,22677891,170141.90,13254.90,750.60,59.80,20.50,30.10,6,7.40,5.10,4.10,3.20,2.40
1644,14575800,223102.70,0,1412.20,96.10,26.40,50.90,8.70,12.60,6,6.10,4.40,2.50
1643,55013819,0,0,987.40,63,23.70,37.70,6.50,9.40,6.10,4.60,3.30,2.70
1642,45828914,0,0,5042.50,91.20,29.60,49.20,8.40,11.90,6.90,5.50,4.10,2.80
1641,34278403,183448.70,21437.50,1112.80,114.10,36.40,45.70,8.80,10.50,7.90,4.80,3.90,3
1640,25664210,0,98397.10,1290.20,130.60,38.20,61.30,10.90,14.10,8,6.60,5.10,3
1639,14642100,0,7753.30,1857.60,92.10,25.80,43.90,8.50,10.80,6.40,5.10,4,2.60
1638,111709000,119826.50,10317.70,1420,78.50,20.70,50.40,8,12.20,5.30,5.90,4.10,2.40
1637,75373366,80349.40,18778.90,1169.80,106.80,37.70,40,9,8.40,7.50,3.60,4,2.90
1636,67468716,0,39668.80,1195.70,93.10,33.20,47.30,8.50,10.30,7.20,4.40,4,2.90
1635,56740038,126064.60,12627.10,724.50,71.40,20.60,38.90,6.80,9.70,5.20,4.70,3.50,2.40
1634,47431501,161903.70,11351.80,803.50,76.20,28,31.70,7.70,8,7.10,3.60,3.90,3
1633,35570682,0,11872.90,1078.60,77,25.70,40.30,6.80,10,5.50,4.90,3.50,2.40
1632,26606452,0,13446.40,930.70,91.30,31.70,35.70,7.40,7.60,6.20,3.60,3.40,2.40
1631,14788300,0,85311.30,599.20,54.40,23.30,23.80,5.30,6.60,5.50,3.60,2.90,2.50
1630,46209384.50,0,18651.30,757.70,75.80,28.30,25.10,6.80,5.80,6.50,2.70,3.30,2.70
1629,124819178,254848.50,19854.10,1374.20,90,34.50,42.30,7.60,10.30,7.20,4.80,3.60,3
1628,113251141,0,10547.20,938.60,70.90,19.20,43.90,6.80,10.70,4.60,5.30,3.50,2.10
1627,100207415,0,21441.60,834.80,94.90,26.90,37.80,8.10,11.50,5.90,5.20,4.30,2.60
1626,89830507,201986.90,10894,588.10,63.50,21.90,24.20,6.20,6.30,5.50,3.20,3.20,2.40
1625,76233786,98100.40,15285.10,772,81.50,23.20,51.30,7.40,11.70,5.10,5.80,3.80,2.20
1624,67887691,254250.40,16977.80,1233.90,78.60,30.20,43.80,7.40,10,6.70,4.40,3.50,2.80
1623,56485517,0,8148.90,769.10,59.10,18.50,32.90,6.10,9,4.80,4.60,3.30,2.20
1622,47438874,0,17832,1009.80,92.40,28.60,39.50,8.20,11.70,6.60,5.40,4.20,2.60
1621,35463718,0,16024.60,1559.70,96.70,30.70,36,7.80,7.70,6.80,3.40,3.60,2.70
1620,26659604,235280.80,36659.30,1268.70,93.30,31.20,44,8.30,10.50,6.80,4.90,4,2.80
1619,14954900,338302.30,19766.70,1296.10,95.90,32,61.50,9.30,14.60,7.30,6.60,4.30,3
1618,58372984,83374,16702.10,1071,77.60,26.20,41.40,7.90,10.20,6,4.90,3.80,2.50
1617,45645985,0,14109,941.70,68.30,26.10,37.70,6.40,9.30,6,4.40,3.20,2.60
1616,35918139,70515.10,11536.30,1159.10,89.30,27,49.60,8.20,11.60,6.50,5.40,4,2.70
1615,23965886,0,13567.50,939.10,98.90,26.90,55.40,9.10,13.50,6,6.30,4.50,2.50
1614,15045000,119453.50,0,993.80,103.30,34.10,36,8.60,8.10,7.60,3.40,3.90,3
1613,129396973,121728.40,12931.70,852,76.50,28.30,38.60,7.50,9.20,6.10,4.60,3.60,2.50
1612,114855000,97756.90,8940.20,902,74.90,21,45,7.70,11.50,5.10,5.50,3.90,2.30
1611,14937900,0,7895.60,848,86.70,29.90,41,7.80,9.90,6.20,4.70,3.80,2.70
1610,90371760,293182.70,12458.40,656.70,60.70,21,42.80,6.70,9.90,5.80,4.60,3.50,2.60
1609,77415556,0,30494.80,770.10,88.80,31.40,34.70,7.90,7.80,7,3.30,3.60,2.80
1608,69376023,252591.30,11806.90,967.70,74,23.60,37,7.10,8.80,5.40,4.30,3.60,2.40
1607,55753429,96709.50,0,1340.90,84.90,33.60,50.80,8.30,11.60,7.50,5,3.80,3
1606,45930816,0,6527.90,416.40,55.30,22.50,21.10,6.20,6.70,5.90,3.30,3.10,2.60
1605,33306456,69764.40,0,1336.40,104.60,33,38.90,8.50,8.40,7.20,3.50,3.80,2.80
1604,24084384,125858.60,6863.50,661.10,72.70,21.70,35,7.10,8.80,5.70,4.20,3.50,2.40
1603,58309892,0,0,274.70,51.50,21.60,13.50,4.90,3.90,5.10,2.30,2.70,2.30
1602,47780702,123321.40,8868.30,1088.10,82.90,18.70,46.40,8.10,12.20,4.50,6,4.10,2.10
1601,35443812,177789.10,20776.10,761.30,96.10,32.90,38.30,8.10,9.30,7.30,4.50,3.80,3
1600,26337501,111574,13038.30,902.40,82.40,27.90,38.30,7.10,9,5.80,4.30,3.40,2.50
1599,14953200,53816.90,0,783.50,104.30,33.40,38.90,8.40,8.50,7.20,3.70,3.80,2.80
1598,60965285,0,12076.40,626.90,67.80,20,34.30,6.40,8.80,5,4.30,3.30,2.30
1597,45400661,0,95515.40,1006.40,94,28.70,41.10,8.20,9.60,6.70,4.60,3.80,2.70
1596,35309699,0,0,6536.30,112.20,32.70,49.20,9.70,12.80,7.20,5.90,4.50,2.80
1595,23803034,176452.90,16495.90,1223.30,118.30,38.90,54.20,9.60,11,7.80,4.80,4.10,2.90
1594,15080700,114552.90,15298.80,741.20,106.80,32.10,44.30,8.60,10.70,6.90,4.60,4.10,2.80
1593,23875805,0,0,745.20,84.80,32.10,34.20,7.40,7.80,6.90,3.30,3.50,2.90
1592,14999100,242568.70,11338.40,1038.70,80.70,26.50,37.20,6.70,9.50,5.60,4.60,3.40,2.40
1591,45082941,55086,10013.50,539.80,48,17.40,28.50,5.20,8,4.70,4.30,2.90,2.30
1590,35395096,239849.70,0,634.90,79.40,30.50,27.70,7,6.60,6.80,3.30,3.40,2.80
1589,23268384,91688.80,5042.10,1160.80,63,13.20,48.60,7.10,12.90,4.10,6.40,4,2.10
1588,14614900,242138.50,18863.90,1007.20,111.20,33.60,48.20,9.10,11.20,7.70,4.90,4.20,3
1587,123320251,112168.30,0,669.30,83.30,23.90,45.70,7.50,11.40,5.50,5.60,3.80,2.40
1586,111540000,838125.50,15067.90,984,100.10,30,46.50,8.60,10.90,7,5.10,4.20,2.90
1585,75920333,434567.20,0,1318.10,105.50,30.80,58.60,9.20,13.30,7,6.20,4.40,2.80
1584,67132541,133649.90,12494.40,997.80,88.20,31.50,38.10,8.20,8.80,7,4,3.90,2.90
1583,56748589,0,0,1340.30,98.10,31.30,43,7.60,9.60,6.30,4.50,3.50,2.50
1582,47550303,167274.40,10662.20,1107,102.20,29,49.90,9.10,11.70,6.50,5.40,4.20,2.60
1581,35479091,121743.90,0,1063.50,82.30,18.80,44,7.70,11.30,4.70,5.60,4.10,2.20
1580,26494350,154870.70,13573.40,966.30,81.50,29.20,40.90,7.30,9.70,6,4.90,3.50,2.50
1579,14856300,115923.80,27093.30,1687.70,103.40,31.20,50.30,8.60,10.40,6.90,4.80,3.80,2.60
1578,140883229,387318.30,18104.50,1105.70,94.40,34.10,51.30,8.30,11.30,7.60,5,3.80,3
1577,122547643,257850,15065.90,1501.60,110.40,35.70,54.20,9.90,11.30,7.50,5.10,4.50,3
1576,111894067,0,9462.30,645.90,37.40,8.60,46.70,7.90,11.70,5.30,5.60,4.10,2.50
1575,100076816,244791.70,22884.70,1113.70,102.10,31.70,49.30,9.20,11,6.90,5,4.20,2.80
1574,90544468,292110.90,12412.90,1215.10,94.50,31.20,47.80,8.90,11,7,4.90,4.10,2.80
1573,78341770,102375.70,19141.50,961.60,92.20,27.10,42.30,7.40,9.50,5.70,4.70,3.50,2.40
1572,69613418,0,30162,799.50,101.20,34.10,33.30,8.50,6.70,7.70,2.70,3.70,2.90
1571,59380835,0,17930.70,1034.20,75.90,23.10,41.50,7.40,10.20,6.10,4.70,3.80,2.70
1570,49259271,0,16372.30,1274.80,107.70,34.90,53.30,10.10,11.50,7.30,5.30,4.60,2.70
1569,36121026,0,10516.90,770.70,85.70,25.60,44.90,7.60,11,6,5.40,3.70,2.50
1568,27036551,119917.80,14013.30,997.60,68.50,19.90,48.20,7.10,11.80,5,5.70,3.70,2.30
1567,15232000,81492.10,0,847.40,88.60,28.30,44.40,7.70,10,6.10,4.50,3.60,2.60
1566,171815297.80,93099.60,24867.30,695.10,81.60,28.80,33.70,7.40,8,6.60,3.70,3.50,2.70
1565,152925599,82017.10,12198.30,1019.30,77,23.80,45.90,7.40,11.30,5.70,5.50,3.70,2.50
1564,140833357,120098.50,24059.10,1380.40,86.20,30.50,50.80,8,11.30,7,5,3.80,2.90
1563,124482154,284724,0,1337.20,105.30,31.20,47.60,9,12.20,6.40,5.60,4.20,2.60
1562,112723000,112345.20,16708.90,806.30,68.10,22.80,28.90,6.60,6.80,5.50,3.40,3.30,2.40
1561,14626800,45051,0,690.40,52.70,19.20,33.40,5.40,8.90,5,4.50,3,2.40
1560,110978200.90,130074.90,8941.30,1183.60,71,22.50,44.20,6.50,10.90,5.20,5.40,3.40,2.30
1559,97113219,80257.70,6252.50,796.70,42.80,17.20,29.90,5.50,8.40,4.80,4.70,3.30,2.30
1558,86284946,100610.50,15676.20,1220.60,106.30,26.90,54.80,9.20,13.50,6,6.40,4.50,2.50
1557,73999475,0,111262.40,1492,87.80,34.50,55.50,8.60,12.20,7.70,5.30,4,3.20
1556,66099798,66729.80,11342.40,670,65.50,25.20,25.90,6,6.90,5.60,3.70,3.20,2.50
1555,55133982,0,11425.20,889.60,76.20,28.70,43.20,7.30,10.60,7.10,4.90,3.50,3
1554,46494644,0,23917.30,1128.70,88,26.60,45.10,8.50,11.10,6.60,5.30,4.20,2.80
1553,34583514,0,18010.50,1274.90,93.40,30.20,40.20,7.50,9.80,6.10,4.80,3.60,2.50
1552,25623593,0,22916.10,829.90,110.60,33.80,51.70,9,12.40,6.90,5.70,4.30,2.80
1551,14220500,92579.70,0,962.70,79.50,26.80,42.50,7.50,11.50,6.50,5.60,4,2.80
1550,35051148,0,13661.60,736.40,79.60,31.30,29.40,7.40,7.90,7.40,3.70,3.90,3.10
1549,23142411,78618.90,5742,665.40,51.70,15.40,27.50,5.60,8,4.40,4.50,3.30,2.20
1548,14482300,0,79242.50,1315,99.50,31.10,47.60,8.80,11.10,7,5.40,4.20,2.90
1547,195707000,0,20983.70,975.50,94.30,28.50,48.20,8.50,11.80,6.50,5.60,4.10,2.70
1546,195546000,1476431.50,20188.80,822.70,72,24.30,41.10,7.70,10.90,6.50,5.30,4.10,3
1545,194189000,3665079.10,25058.20,1660.60,109.40,35.70,52.60,9.80,12.10,7.70,5.60,4.60,3.10
1544,194810000,1077924.50,14797.50,973,103,34.90,43.20,9.60,10,8.30,4.30,4.50,3.40
1543,185077898,102040.20,31798,974.10,83,27.90,38,7.50,8.70,6.50,4.10,3.60,2.70
1542,169466829,218724.70,11359.90,796.10,84.60,26.50,50.40,8.10,11.80,6.40,5.70,4.10,2.70
1541,152102048,125966.80,0,1432.80,103.50,36.10,53.30,9.80,11.40,7.90,4.90,4.50,3.10
1540,138565344,374760.90,19463.90,992,79.50,23.80,46.40,7.40,11.90,5.80,5.80,3.90,2.50
1539,123428111,0,16859.90,1105.50,84.20,27.60,47.50,8.60,11.50,6.90,5.30,4.20,2.80
1538,111761000,0,10915.80,903.10,84.70,30.80,37.10,7.40,9.20,6.30,4.40,3.50,2.60
1537,14824000,83291.50,9733.30,1154.90,89.50,28.20,42.50,8,10.40,6.20,4.90,3.70,2.60
1536,54957242.50,0,29738.70,1277.60,105.60,28.50,57.50,9.60,14,7.40,6.40,4.50,2.90
1535,42921837,74857,7289.70,579.70,57.10,23.60,25,6.40,7.20,5.90,3.70,3.40,2.60
1534,34490264,243620,0,1542.10,116,33.40,52.20,8.90,12.30,7,5.70,4.10,2.80
1533,22894587,88335,0,494.60,68.60,29.80,24.60,6.40,5.80,6.40,3.30,3.20,2.70
1532,14456800,113120.80,11750.30,803.40,82.30,31.70,32.80,7.50,7.50,7.30,3.50,3.60,3
1531,43463036,0,28586.10,785.60,90.90,27.70,40.70,8,10,6.20,4.90,3.80,2.50
1530,34161724,165376.40,19325.60,708.10,88.80,31.90,34.40,7.70,7.60,6.60,3.60,3.60,2.70
1529,22703208,0,0,1377.10,107.80,38.70,47.60,8.80,10.80,7.60,4.90,4,3
1528,14463600,0,16299.20,712.50,97.60,30.10,36.10,8,8.40,6.50,4,3.80,2.70
1527,184262899.10,0,18492.70,892.40,76,26.30,34.70,7.40,7.70,6.20,3.50,3.60,2.60
1526,167246203,186995.70,13657.40,764.70,74.10,24.50,39,7,10,5.80,4.90,3.70,2.60
1525,146807728,0,0,1040.10,100.90,36.10,38.70,8.60,8.70,7.60,4,3.90,3
1524,133283578,0,22540.70,842.50,105.80,34.40,30.60,8.30,6.30,7.50,2.90,3.80,3
1523,117647597,0,27604.30,1194.10,99.30,33.50,49.40,8.90,11.60,7.20,5.40,4.10,2.80
1522,105610620,139419.20,18102.50,906.10,94.20,30.70,43.10,8.40,10,6.80,4.70,4,2.80
1521,91127452,243014.10,22718.50,786.20,84.60,25.40,42.60,8.10,11.10,6,5.50,4.20,2.70
1520,82217272,585591.30,17107.70,947.30,84.60,33.20,43.50,8.20,11,7.80,5.20,4,3.30
1519,72305405,0,25323.50,1660.50,123.60,40.10,55,10.40,12.60,8.10,5.60,4.60,3.10
1518,64389965,0,0,1162.20,119.30,37.10,53.10,10.10,12.50,7.70,5.60,4.50,3
1517,54201384,99703.70,11651.10,691.20,64.80,24,36,6.40,9.50,5.90,4.90,3.40,2.70
1516,45807063,264913.80,13758.80,1042.40,87.70,25.30,46.70,8.30,11.40,6,5.50,4.10,2.60
1515,34147332,71823.30,11990.20,1537.80,93.50,30,49.80,8.70,10.80,6.90,5.20,4.10,2.80
1514,25518127,0,7931.60,1235.20,66,19.70,47.50,7,12,5.20,6,3.70,2.40
1513,14152500,112798.10,6590.60,1119.70,72.10,20.60,44.50,7,11.20,5.20,5.80,3.70,2.40
1512,22498627,0,29365.60,892.30,95.40,26.60,48.30,8.40,12.20,5.80,5.90,4.10,2.50
1511,33625791,0,56878.80,308.60,47,19.70,19.30,5.50,5.90,5.20,3.30,3.20,2.50
1510,25219181,0,11316.90,704.90,78.90,27.70,27.30,6.70,7,6,3.70,3.30,2.60
1509,14154200,0,5150.40,557.90,57.30,20.40,30.20,6.10,8.10,5.50,4.20,3.40,2.60
1508,64890075,293569.20,0,1473.80,130.10,39.30,68.20,11.50,14.90,8.10,6.90,5.40,3.10
1507,55075675,80878,8592,639.90,75,26.90,32.90,7.50,8,6.90,3.80,3.70,3
1506,46332113,0,20226.40,969.20,65,23.10,35.70,6.60,8.90,5.70,4.60,3.50,2.60
1505,34210472,134762.50,0,382.20,67.80,27,21.20,6.60,5.70,6.30,2.90,3.40,2.80
1504,25336094,0,23619.40,1186.50,127.10,36,53,10.30,12.80,8.10,5.80,4.90,3.30
1503,14281700,0,9237.90,1177.10,102.80,25.40,51.50,9,13.20,6.40,6.40,4.40,2.70
1502,25905357,174991.30,17527.80,1158,94.30,30.40,45.70,8.40,10.40,7.20,4.90,4,2.90
1501,14339500,125085.70,0,1437.70,101.60,35.90,53,10.10,12.50,8.30,5.40,4.50,3.30
1500,109915000,108811.40,20807.10,858.90,99.10,34.80,32,8.50,7.10,7.80,3.20,4,3.20
1499,52442757,221273.10,0,1110.80,113.20,36.80,43.50,9.50,10,8.20,4.40,4.30,3.20
1498,42779117,283621.80,16571.70,1588.20,104.40,33.90,60.30,9.20,13.80,7.60,6.60,4.30,3
1497,30632619,200160,18712.20,1457.10,103,33.40,47.40,8.90,10.70,7.80,4.80,4.10,3.10
1496,21857937,335319.90,16793.50,1241.20,111.60,34.50,58.30,9.80,12.80,7.90,5.80,4.50,3.10
1495,56246458,63630.70,8007.70,405.30,47.50,17.50,22.90,5.30,7.10,5,3.90,3.20,2.60
1494,46600782,80682.70,11999.80,1245.80,98.30,27.20,57.70,8.90,13.70,6.50,6.60,4.40,2.80
1493,34392715,102221.10,13651.80,1240.20,91.20,25.20,57.30,8.30,14,5.90,6.70,4.30,2.70
1492,25451971,127023.80,39583.40,1056.70,97.70,33.80,47.30,9.10,11.30,7.30,5.10,4.30,3.10
1491,14189900,0,0,1730.50,108.40,36,55.30,10.20,12.50,8.20,5.70,4.70,3.20
1490,14788260,49931.90,10836.30,750,61.20,22.70,36.90,6.90,9.50,6.90,4.60,3.50,2.90
1489,66903928,88104.20,5147.80,1105.80,69,18.50,49.30,7.20,12.70,5,6.20,3.80,2.40
1488,58741896,314521.50,21002.50,1431,116.80,37.90,53.90,9.70,11.50,7.80,5.10,4.40,3.10
1487,44829384,45907.90,8047,716.10,59.50,22.70,39.60,6,9.90,6,4.90,3.20,2.70
1486,35175553,0,126850.30,779.60,91.70,36.30,33.10,7.90,7.50,7.50,3.40,3.70,3
1485,23257356,192626.90,18008,1001.60,96.50,34.20,42.70,8.90,9.50,7.80,4.10,4,3.10
1484,14518000,505609.30,0,721.70,79,26.90,29.60,7.70,7.30,6.60,3.50,3.80,2.80
1483,122150223,298841.90,17461,1144.90,107.70,37.30,50.80,9.20,11.40,7.90,5,4.40,3.20
1482,111176000,138366.60,21559,1343,108.10,34.40,56.10,9,13.20,7.30,6.10,4.20,2.90
1481,14501000,0,28145,1143.40,98.20,32.50,48.80,8.70,11.20,6.90,5.20,4,2.70
1480,137864547,107781.50,25190.30,1307.60,109.10,36.80,44.30,9.70,8.60,8.10,3.30,4.30,3.20
1479,122108668,287059.60,16772.60,1044.80,92.60,31.40,45.30,8.80,11.10,7.50,5,4.20,3.10
1478,111127331,0,32811.50,1042.80,109.70,30.80,41,8.90,9.50,7.60,4.20,4.20,3.10
1477,98160844,131347.90,13643.60,1233.70,76.20,28.60,43.10,7.20,10.80,6.70,5.20,3.60,2.90
1476,89439998,0,14123.20,1157.60,92.10,33.70,38,8,8.20,7,3.90,3.70,2.80
1475,77468576,0,0,1410.90,101.60,30.10,44.10,8.20,10.70,6.30,4.90,3.90,2.70
1474,68724444,112374,11938,1363.40,85.10,25.30,48.10,8,11.70,6.10,5.50,4,2.60
1473,57114246,202406.20,10512.30,1281.20,81.50,26.60,43.90,7.80,11.10,6.10,5.30,3.80,2.60
1472,47441476,110833.60,21586.30,747,85.60,31.30,34.70,7.90,8.10,7.10,3.70,3.80,2.90
1471,34759941,129513.80,15134.70,1229.70,69.90,31.40,49.30,8.20,11.60,6.80,5.50,3.80,2.70
1470,26052151,0,9757.50,1402.70,77.60,21.80,48.20,7.70,11.90,5.30,6.10,3.90,2.40
1469,14348000,97965.60,18316.90,1056.50,117.50,39.10,56.60,10.50,12.40,8.50,5.40,4.70,3.30
1468,185548000,3679293.50,27090.40,1130.80,123.90,41.90,48.40,10,11,8.70,4.90,4.60,3.50
1467,186780000,995740.80,11127.60,1110.80,101.80,29.80,55.50,9.30,13.20,6.90,6.20,4.60,2.90
1466,174236090,118041.10,10795.30,991.50,92,33.10,37.30,8.10,8.40,7.20,3.80,3.80,2.90
1465,153912260,748194.30,43716.30,892.80,102.50,36.20,37.80,8.20,8.40,7.70,3.90,3.70,3
1464,140503213,121426.90,12416,1145.80,89.90,28.10,47.40,8.60,11.60,6.40,5.60,4.10,2.60
1463,124787147,0,0,917.30,82.30,27.60,34,6.70,7.80,5.90,3.90,3.20,2.40
1462,111514000,178622.50,16056.50,1274.80,90.20,22.60,49.80,8.40,12.20,5.50,5.90,4.30,2.40
1461,43202295,193617.30,30167.70,939.60,83.60,33,32.40,8.20,7.70,7.10,3.50,3.90,2.90
1460,33997943,0,8441.10,551.20,70.90,23,27.90,6.40,7.80,5,4.10,3.30,2.30
1459,22635401,0,0,1015.40,94.50,32.70,34.20,8.40,7.70,7.30,3.50,3.90,2.90
1458,14519700,87019.10,6355.50,368.20,56.70,18.40,21.50,5.80,5.90,4.80,3.30,3.20,2.30
1457,22846891,0,11131.30,591.90,68.30,26.10,27.40,6.60,6.70,6.80,3.40,3.30,2.90
